ejä̃nh,v.         ni: ejä̃ä̃j.         ni_p: ej'ä̃ä̃nh.,ni: ejä̃ä̃j,ni_p: ej'ä̃ä̃nh,,
ejaa,v.         ni: eja.       poo hejaa v.,ni: eja,,,
ejäm,v.        p: ej'ëëm.       jäm n.,p: ej'ëëm,,,
ej'ees,v.         ni: ejeej.       ky n'aa ej'ees v.         ni: ky n'aa ejeej.,ni: ejeej,ni: ky n'aa ejeej,,
ejẽh,v.         ni: ejëng.,ni: ejëng,,,
ejëënh,v.         ni: ejëëj.,ni: ejëëj,,,
ejëëh,v.         ni: ejäh.       noo gejëëh v.,ni: ejäh,,,
ejën,v.         ni: ejëën.,ni: ejëën,,,
kejën,v.,,,,
ejoonh,v.         ni: ej'ooj.         p: ej'oonh.,ni: ej'ooj,p: ej'oonh,,
ejooh,v.         ni: ejóh.,ni: ejóh,,,
ej'õõk,v.         ni: ejõõg.       noo gapejõk v.,ni: ejõõg,,,
ejoom,v.,,,,
ejung,v.         ni: ejuu/h.,ni: ejuu/h,,,
ejuu,v.         ni: eju.         p: ej'uu.,ni: eju,p: ej'uu,,
ejyyh,v.         ni: ejyh.,ni: ejyh,,,
ejỹỹk,v.         ni: ejä̃g.       h'yy kejỹỹk v.,ni: ejä̃g,,,
ekë,v.,,,,
ekëë,v.         ni: ekä.,ni: ekä,,,
ekook,v.         ni: ekog.,ni: ekog,,,
ekóm,v.,,,,
ekus,v.         ni: ekuts.,ni: ekuts,,,
ekuus,v.         ni: ekuuts.,ni: ekuuts,,,
ek'uut,v.         ni: ekuud.,ni: ekuud,,,
ekyy,v.         ni: eky.         hab: hek'yy.,ni: eky,hab: hek'yy,,
ekyyt,v.         ni: ekyd.,ni: ekyd,,,
emaan,v.,,,,
emäd/mäd v/,n.,,,,
emam,v.,,,,
emäs,v.,,,,
emooh,v.         ni: emo.,ni: emo,,,
ena,v.,,,,
enäng,v.         ni: enyyh.         est;hab: en'yyh .,ni: enyyh,est;hab: en'yyh,,
en'aa,v.,,,,
enäh,v_p.         ni_p: en'yyh.         sing: anäng.,ni_p: en'yyh,sing: anäng,,
enam,v.,,,,
enäm,v.         ni: enyyw.         caus: en'yym.       h'yyb näm v.         ni: h'yyb nyyw.,ni: enyyw,caus: en'yym,ni: h'yyb nyyw,
enoh,v.         ni: eno.,ni: eno,,,
enu,v.         p: en'uu.,p: en'uu,,,
enyym,v_p.         ni: enyyw.         s: anäm.,ni: enyyw,s: anäm,,
en'yym,v.         ni: enyw.,ni: enyw,,,
eoom,v.         hab: eóm.,hab: eóm,,,
eoot,v.         ni: eód.       ód n op.,ni: eód,,,
epaa,v.         ni: ep'aa.,ni: ep'aa,,,
ep'aak,v.         ni: epaag.,ni: epaag,,,
epäh,v.         ni: epëë.,ni: epëë,,,
ep'ees,v.         ni: epeets.       ty gap'ees v.        ji tób yd pets n.,ni: epeets,,,
epé,v.,,,,
epëëm,v.,,,,
ep'ëët,v.         ni: epëëd.,ni: epëëd,,,
epëk,v.         ni: epëg.,ni: epëg,,,
