entry_id,def,status,matches
naə:ɲ_8604bf25-763e-4f74-9f621229dc8c1306,call;chamar,merge,"{'naëënh_8604bf25-763e-4f74-9f62-1229dc8c1305': ('naëënh', 'call;chamar')}"
nɛ hẽ_8b6c97f9-bff4-4755-a9b13d71dbc9938f,really.like.this;assim.mesmo,merge,"{'né hẽ_8b6c97f9-bff4-4755-a9b1-3d71dbc9938e': ('né hẽ', 'really.like.this;assim.mesmo')}"
ʃo:_8d4ce206-887a-448d-a7db8239d7cbecd0,woodpecker;pica-pau,merge,"{'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf': ('soo', 'woodpecker;pica-pau')}"
bʌ_8df25412-204a-46bc-a7873ef67101e1ce,na.frente,merge,"{'bʌ_d715fe9e-35d6-4cb9-b7ddca28a1e3c7a5': ('bʌ', 'ABL;ABL')}"
hado:_91228118-6e36-4bb1-8876c6ca8cf2491e,like.this;assim,merge,"{'hadoo_91228118-6e36-4bb1-8876-c6ca8cf2491d': ('hadoo', 'like.this;assim')}"
ʃa_9258a56c-b681-4637-922dc15c3cc4d778,3PL.POSS;3PL.POSS,merge,"{'sa_9258a56c-b681-4637-922d-c15c3cc4d777': ('sa', '3PL.POSS;3PL.POSS')}"
tɔ̰̃:p_9cceec82-ec11-4fd0-9417c81d9b1b5b72,no fundo (do rio),merge,"{'t&apos;õp_1895b435-ca91-4f37-9a89-e0f3d223f89a': (""t'õp"", 'no.fundo')}"
mana:_9d913c36-75d0-408c-a3f351b799cf6cf4,trazer,merge,"{'mana:_b999ce06-0ede-4cd1-850cf0321b9a34c2': ('mana:', 'trazer')}"
adɨ:k_a8313ccc-413c-4657-b4ef14f1259891a4,beat.with.stick;bater.com.pau,merge,"{'adyyk_a8313ccc-413c-4657-b4ef-14f1259891a3': ('adyyk', 'beat.with.stick;bater.com.pau')}"
iʃ_aabbc7a1-8b5c-4a46-a8f8348d31b31614,alone;sozinho,merge,"{'is_aabbc7a1-8b5c-4a46-a8f8-348d31b31613': ('is', 'alone;sozinho')}"
bi:n_b2e517bb-acfb-4a33-9270f9596069cab6,medicine;remédio,merge???,"{'biin1_b2e517bb-acfb-4a33-9270-f9596069cab5': ('biin', 'medicine;remédio'), 'biin2_e6e5bae8-d2ad-412e-b701-c994681eb9d5': ('biin', 'treat n.i.')}"
kapɨ̃:j_c53cf0e0-0078-4164-94672f4e98268e6e,creek;igarapé,merge,"{'kapỹỹj_c53cf0e0-0078-4164-9467-2f4e98268e6d': ('kapỹỹj', 'creek;igarapé')}"
gʌ:w_d75c6521-2155-4784-a8642198b50b7ec5,derrubar roça,sense variant?,"{'gə:w_70fc9c7c-beca-459a-a97351d3d66e4ec5': ('gə:w', 'roça')}"
aʃo:p_fb0ac1ce-3487-4841-8c1e1d831b4bedca,go.upwards.from river;subir.do.rio,merge,"{'asoop_fb0ac1ce-3487-4841-8c1e-1d831b4bedc9': ('asoop', 'go.upwards.from river;subir.do.rio')}"
jajɛ_ff33ec40-692f-454d-915fee99245cc6f8,there.invisible;lá.invisible,merge,"{'jajé     _ff33ec40-692f-454d-915f-ee99245cc6f7': ('jajé', 'there.invisible;lá.invisible')}"
harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af,tipiti;tipiti,merge,"{'haɾũm_e7c19295-e5b4-4fbe-afa0-407f81dde475': ('haɾũm', 'tipiti')}"
nyy2_2a616b2b-369a-4c2f-96a4-fed147510a78,INTERG,merge??? (is one a typo or are these two different words?),"{'nyyd_facdf3f0-1a1e-403e-912b-c4f27a0d057e': ('nyyd', 'WH;WH')}"
marahuud_579cf0f2-5521-4f7c-8650-e9e7775a6a6d,single;solteiro,merge,"{'maɾahuːd_ef1c8465-a5e4-4269-b0ee-40fed97f627b': ('maɾahuːd', 'solteiro')}"
panyyg1_b438b097-40f8-45db-98fc-91e5ba708d20,story;história,merge,"{'panyyg2_e135dd42-1fc6-4655-9a4c-61a3e18049cb': ('panyyg', 'story;conto')}"
eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87,fear;ter.medo,merge,"{'eỹỹm1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 'fear;ter.medo'), 'e&apos;ỹỹm_f10c9014-71b7-47c5-94e5-6838e40da1fe': (""e'ỹỹm"", 'scare;causar.medo')}"
hahỹỹh1_c9b7d1df-1bb9-48d2-a71c-af0fdd38ed70,este,,"{'ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e': ('ahỹỹh', 'sing.bird;cantar.pássaro')}"
abuuj_ca2e4d7b-85b5-4e4f-85c1-ca6b3ed3a14d,fill;encher,,"{'nabuuj_cb6fe9b5-c752-4979-abff-e6d8db6d476b': ('nabuuj', 'ear;orelha'), 'bu:j_54613d00-08ea-44ed-b99659610ba3cac7': ('bu:j', 'feitiço')}"
adëë_d39b9583-3673-442f-8a80-19cb72795322,lean;encostar,,"{'atə:_0d9d214a-224c-47c4-8261fdf54959927f': ('atə:', 'estar.no.fogo')}"
ha1_d8ff5f99-7c38-4ed3-ae5a-ceba827841bf,REL;REL,,"{'haa_6a83eb37-c1ab-4dc2-8210-1d9195abca43': ('haa', '1sg.POSS.PL;1sg.POSS.PL'), 'hã_394e29a8-d5e6-4ae4-ab8e521acec8fd7': ('hã', 'DAT')}"
