sense_id,pos,gloss,def,reverse,note
71701844-6504-4d95-853e-158eb0eb8caa,Noun,"{'en': 'guan', 'pt': 'jacu'}","{'en': 'guan', 'pt': 'jacu'}",,
cda22660-faca-483a-8a4f-06875d500273,n,{'pt': 'inimigo'},{'pt': 'inimigo'},,
51922532-79d3-4916-ac16-c4521d5bc7ee,Noun,{'en': 'barro'},,,
9b92b2cb-bb24-4ffd-bb03-3b21acf80bd0,n,"{'en': 'açaí.palm', 'pt': 'açaí'}","{'en': 'açai palm', 'pt': 'açai'}",,
b2c3a9ef-7a11-46e7-9bd5-408e9b6abbb7,Noun,{'en': 'caranguejo'},,,
36e6dd1e-e554-49e0-9e40-7164c8216f21,Noun,"{'en': 'blood', 'pt': 'sangue'}","{'en': 'blood', 'pt': 'sangue'}",,
ccb1c736-e479-487d-aa05-d74fb2f3f1cc,Noun,"{'en': 'brazil.nut', 'pt': 'castanha.do.pará'}","{'en': 'brazil nut; Bertholletia excelsa', 'pt': 'castanha do pará; Bertholletia excelsa'}","[('castanha.do.pará', 'pt'), ('brazil.nut', 'en')]",
6d7a0e30-f14e-4502-be6f-a87ec5630571,Noun,"{'en': 'hammock.string', 'pt': 'fio.de.rede'}","{'en': 'string used to hang hammock', 'pt': 'corda para atar rede'}",,
5e00ef76-a98a-4519-b41f-43937d925e04,adj?,"{'en': 'rotten', 'pt': 'estragado'}","{'en': 'rotten', 'pt': 'estragado'}",,
09b33e05-02c4-48be-a02b-c4ecfe355f80,Verb,"{'en': 'turn', 'pt': 'virar'}","{'en': 'turn something', 'pt': 'virar algo'}",,
7de79006-a9ce-4bea-bb15-623d300d394e,Verb,"{'en': 'cut.undergrass', 'pt': 'roçar'}","{'en': 'cut undergrass', 'pt': 'roçar'}",,
32433533-206e-4950-91f0-1aa1ea989767,Noun,{'en': 'jungle'},,,
38ba27d4-a60a-4277-96c5-3949aff74510,Noun,"{'en': 'mandi.fish', 'pt': 'mandi'}","{'en': 'mandi.fish', 'pt': 'mandi'}",,
