entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
gód2_afb44df8-075a-40c9-8eed-b4be294caa89,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:56Z,,gód,stem,,{'Sil Dict 2011': 'gód'},k'ɔd̚,"[{'pos': 'Noun', 'gloss': {'en': 'mat.uncle', 'pt': 'tio materno'}, 'def': {'en': 'maternal uncle', 'pt': 'tio materno'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'gód1_c8bf4c45-4267-46ab-b762-3812481e1fef': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
,,,,,,,,,,,
s’oow_bd149bf3-7f4c-42b9-901c-045655c034c8,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,s’oow,stem,,"{'Sil Dict 2011': 'sʹoow', 'Weir': 'sxóów'}",ʃoʔow,"[{'pos': 'Noun', 'gloss': {'en': 'blowgun', 'pt': 'zarabatana'}, 'def': {'en': 'blowgun', 'pt': 'zarabatana'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'sʹoow_6a95cdaa-7d5e-4688-95a3-6ecb4731f4a4': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'sxóów_d752672e-6661-479c-bdf7-29b0468d85a3': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1986; blowgun'}}",{}
,,,,,,,,,,,
pooh_bdd27c96-ea96-4676-845e-c97461c4e435,Fieldnotes Epps/Obert; 2018,2018-06-20T05:09:54Z,,pooh,stem,{},{'Martins': 'pɔːʔ'},poːh,"[{'pos': 'Noun', 'gloss': {'en': 'nose', 'pt': 'nariz'}, 'def': {'en': 'nose', 'pt': 'nariz'}, 'reverse': '', 'note': '', 'these_vars': ''}]",,{}
,,,,,,,,,,,
ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:56Z,,ỹỹm,stem,,"{'Weir': 'ɨɨm', 'Sil Dict 2011': 'ỹỹm', 'Martins': 'ʔɯ̃ːm', 'SIL Dict 2011': '1S Possessivo: ä̃m ỹỹ'}",ʔɨ̃:m,"[{'pos': 'Noun', 'gloss': {'en': 'wife', 'pt': 'esposa'}, 'def': {'en': 'wife', 'pt': 'esposa'}, 'reverse': '', 'note': '', 'these_vars': ''}]","{'ɨɨm_d43b320e-3a28-431e-897d-97757c461f9f': {'type': '_component-lexeme', 'variant-type': 'Weir'}, 'ỹỹm1_c5454b3c-10c6-4bf4-936d-38c30dd989de': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'ʔɯ̃ːm_8eef767c-3fb7-4571-9881-73f96ce8c26b': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
,,,,,,,,,,,
tsʹaah_be6ef049-4a0b-4431-ade9-063237e7fde5,Epps/Obert Fieldnotes 2018,2018-03-08T07:17:53Z,2019-11-15T21:47:15Z,tsʹaah %OR% tsʹaa ,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{'Barbosa': 'ɟa̰ːʔ'},tʃaʔah,"[{'pos': 'n', 'gloss': {'en': 'stingray', 'pt': 'arraia'}, 'def': {'en': 'stingray', 'pt': 'arraia'}, 'reverse': '', 'note': '', 'these_vars': ''}]",{},
,,,,,,,,,,,
