headword,ipa,entry_id,matches
tatiʔ,tati,tatiʔ_0585473a-015e-4c8d-8204-f0cdcdef9673,"[('tii', 'tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def', 0.9), ('tii', 'tii1_487f32cf-ecef-4acb-b46f-049fe7ed4361', 0.9), ('ti', 'ti_6e529536-55b7-49da-b65f-093cf90a0686', 1.0), ('tatɨʔ', 'tatɨʔ_bff6445e-d390-4aad-ab41-55bd70892fac', 0.875)]"
ebooh,ebo:h,ebooh_058fbf01-f274-4cf7-a1c2-8b39c2d69bb1,"[('bɔːh', 'bɔːh_39fbb0d2-2f48-4e16-8562-2d552408a466', 0.875), ('mooh', 'mooh1_f3b52f1a-d90c-47a3-a82e-0f14c1209ae3', 0.875), ('boːh', 'boːh_6a7b644a-7672-4290-94f5-4f812ad24772', 0.8888888888888888), ('boːh', 'boːh_6a7b644a-7672-4290-94f5-4f812ad24772', 1.0), ('pooh', 'pooh_bdd27c96-ea96-4676-845e-c97461c4e435', 0.875)]"
esëëp,eʃə:p,esëëp_05a5fb56-de84-4139-bc8e-7b040c572e59,"[('ʃɤːʔ', 'ʃɤːʔ_77981701-bff1-498b-a88b-f2ff0d46a7a2', 0.8571428571428571)]"
pɛːʔ,pɛ:,pɛːʔ_05ad656e-97a8-4319-9d08-620ffd56db90,[]
takɤ̰p,takə̰p,takɤ̰p_05bff17e-0f67-47a7-8c0f-aaeb5194a218,"[('takʹëp', 'takʹëp_713254c9-c9a3-408e-89d8-f85183abb1e8', 1.0)]"
duːʃ,du:ʃ,duːʃ_05cbd907-fae2-42cf-b43f-d30a3027504f,[]
karapee,karape:,karapee _0608a430-217f-4595-8307-b236eef0ae5b,"[('karasee', 'karasee1_bbead827-d2c2-4ae6-b7d5-bcfcf27ce44a', 0.8571428571428571), ('karasee', 'karasee2_430d97ec-8027-4c94-a20c-9abe0c446010', 0.8571428571428571)]"
basong,baʃoŋ,basong_061b4156-051a-46d0-8236-0cd083292685,"[('basooh', 'basooh2_c72d9c5c-d8fc-4c06-9f6d-f9ef9f262f1a', 0.8636363636363636)]"
baad,ba:d,baad_068ae71c-c922-438c-9569-dad5b2122f74,[]
moo hajʹaa,mo: haja̰:,moo hajʹaa_06db6091-79d5-477c-a422-797dfc4e6c9b,"[('jaah', 'jaah_73c5535f-972b-4711-b80a-904d9c468a08', 0.875), ('hajaar', 'hajaar_8214f460-f0df-4453-97a7-9b50fa6d0cb4', 0.875), ('ja̰ːʔ', 'ja̰ːʔ_6b9116ec-f02f-4b64-8159-8be45e5e7321', 1.0), ('hajʹaa', 'hajʹaa_0e588062-5b1b-40b9-be20-57b3c3c79c71', 1.0), ('j’aa', 'j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378', 1.0)]"
taats,ta:tʃ,taats_06fa1be1-fd07-4e5b-8efb-4684de883e8e,[]
bareä̃m duuh,bareʌ̃m du:h,bareä̃m duuh_0708e024-79a0-4338-a334-67e1b020722f,"[('uuh', 'uuh_1173027f-de25-43fe-b73c-8e947d64965d', 0.8571428571428571), ('duːh', 'duːh2_8cad8cbe-211f-4aa3-bd6e-b9d4d6bcebb8', 1.0), ('nuuh', 'nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4', 0.875), ('doːh', 'doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c', 0.875), ('dooh', 'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4', 0.875), ('dooh', 'dooh2_f50666b1-7d7e-449a-8205-0cda6a02f920', 0.875), ('duuh', 'duuh_1c1e2650-1809-4f40-a148-33b3a990262f', 1.0)]"
baros,baroʃ,baros_075922fd-9874-48ce-8813-f6705117c88d,[]
kakoos yb,kako:ʃ ɨb,kakoos yb_07832269-7792-4503-a931-31d64643cc9a,"[('yb', 'yb2_1cc95316-b9fe-4093-9b14-e9c016496d4a', 1.0), ('ɨb', 'ɨb_3135659c-423f-4208-befc-ea379815ca59', 1.0)]"
gatoj,gatoj,gatoj1_078662dd-26f4-4367-9768-df5ae4614a59,"[('gatoj', 'gatoj2_821cf217-373a-468c-809d-befd11a285c3', 1.0)]"
jati,jati,jati_07ed138d-ebf1-48c5-989e-c0786f993fff,"[('tii', 'tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def', 0.9), ('tii', 'tii1_487f32cf-ecef-4acb-b46f-049fe7ed4361', 0.9), ('ti', 'ti_6e529536-55b7-49da-b65f-093cf90a0686', 1.0)]"
ga̰ɟ,ga̰tʃ,ga̰ɟ_07f4b7eb-2a95-4855-9a4d-8837b5a4006e,[]
sũũts,ʃu:̃tʃ,sũũts_07fc6bd3-d3a8-4027-9945-2f8878c2efa9,"[('sõts', 'sõts_bda18a4b-25b2-46d9-a02e-8c971679f674', 0.8636363636363636)]"
ahäng,ahʌŋ,ahäng_080a15b9-a5d1-4501-a837-cf7c5c7cdc12,"[('häng', 'häng_9c3d24d0-89e3-4dbc-87a1-9a9ceca642a6', 0.8571428571428571), ('häng', 'häng_9c3d24d0-89e3-4dbc-87a1-9a9ceca642a6', 1.0)]"
hẽ,hẽ,hẽ1_081a7a8a-0158-4d80-abae-d16c5ebdcef7,"[('hẽnh', 'hẽnh_63c8102a-b241-4712-a838-70b21b5a086e', 0.8571428571428571), ('hẽ', 'hẽ2_3bf2f3c2-3b71-4c02-9a24-b506631eabbb', 1.0)]"
