entry_id,matches
esĩĩn_4c031899-2d3d-4fe6-819a-76005cb92d76,"{'ʃĩ:n_bef46c0d-3efb-4cc7-b2c41a829fc17d97': ('ʃĩ:n', 0.9090909090909091)}"
ma=_4d9fb59f-a91b-4993-be66-06611c118977,"{'ma _54824c04-d384-4521-8a423b26b9a0c86f': ('ma ', 1.0)}"
jawyk_4e1f40a1-8c39-45c3-86b9-92a152d8e952,"{'jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b': ('jawëk', 0.9)}"
mabaah1_4fd676f8-cdb4-436b-87e3-2cc5dcfd33d6,"{'mapah1_b822e839-8c6d-40df-b269-0a5a65773509': ('mapah', 0.8636363636363636)}"
hỹỹj2_53908455-3b39-4ca5-bc5b-bdcd9f258d77,"{'hɨ̃:j_4462532d-74ae-455b-84335a21f802135a': ('hɨ̃:j', 1.0), 'hɨ:j_49643aa0-9b00-45bc-9a06f4da8d189eb0': ('hɨ:j', 0.9444444444444444), 'ɨ̃:j_5a1c00f9-4ec3-4e16-b5fe91e9b4916736': ('ɨ̃:j', 0.8888888888888888)}"
t&apos;aah_53b37a98-9c06-4c23-b5d8-447f89451984,"{'tʌ̰:h_32b5d850-3ef4-4d75-b82bf2d5c08972a': ('tʌ̰:h', 0.9), 'tah_396fe9f8-b06b-48e2-92a74335e87b321d': ('tah', 0.875)}"
aju_56ea33aa-145e-4f13-a0ce-5192ec690e52,"{'baju_16b9f9ed-0cb5-4df0-b170-cdea3e4efea7': ('baju', 0.8571428571428571), 'taju_b9feb5fe-8bc7-4677-bb98-57e7f4463a3d': ('taju', 0.8571428571428571)}"
pëëd_575e234e-0e14-44a8-a947-b90d4f165f7b,"{'pə:_8eeb53c7-1d25-48da-8b2d51f5314aa792': ('pə:', 0.8571428571428571)}"
bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae,"{'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6': ('byyh', 0.875), 'bə:h_962a8de8-7f65-4e60-b8a4c16d27943a33': ('bə:h', 1.0), 'bëëh_962a8de8-7f65-4e60-b8a4-c16d27943a32': ('bëëh', 1.0), 'bëh_59d8bf5a-dd20-44e8-b7a9-5081bab044ae': ('bëh', 0.9285714285714286)}"
jëm_5c2a82e1-ebb7-4287-90df-d3a28ccaa053,"{'ajəm_e532759c-75f9-441c-967df4322a5dd35d': ('ajəm', 0.8571428571428571)}"
panaar_5df6f1bc-f203-4ab8-a0c6-d9a93b1400f2,"{'pana̰:_167b4818-2852-44f2-aef766c8c4ba3c2e': ('pana̰:', 0.875), 'pan&apos;aa_09920e5c-4e7b-42e1-b949-ea77191bd8df': (""pan'aa"", 0.875)}"
mawyyt_5f74d4a3-54da-44ba-8ba4-d5ab20a32d82,"{'awɨ̰:t_28c22592-67e2-46c3-98ea6d35223f641a': ('awɨ̰:t', 0.875)}"
tooh_6043f2b6-842d-49d1-9764-2fd9ab21b3ba,"{'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4': ('dooh', 0.875)}"
awad3_62a55d3c-fa39-4a7a-8dbf-01f9b2c196bd,"{'awa_81084abe-5872-41b3-bb65-8b687a3b00a1': ('awa', 0.8571428571428571)}"
boog1_62ca10cf-1f6b-4649-90fa-b022c5c34283,"{'boog_62ca10cf-1f6b-4649-90fa-b022c5c34283': ('boog', 1.0)}"
ji gamehỹỹ doo_636377d7-1beb-43af-9847-12601662d920,"{'ji metyy doo_bb981eb0-8686-4579-88a8-2fd9c910caa5': ('ji metyy doo', 0.8518518518518519)}"
esoom_643f0104-b9a7-4133-b4f9-46670305d01e,"{'eoom_e666abf2-eabe-4681-948b-72a9af0c2ed9': ('eoom', 0.8888888888888888)}"
nadëb1_64797e4a-07d3-4f0b-a899-0a27e395ea25,"{'adëb_af8db4b9-6dae-4999-9503-d81a5bfa101e': ('adëb', 0.8888888888888888), 'nadëp_327fc9f7-ee23-4503-bfa4-af3406fd1684': ('nadëp', 0.9)}"
ejoom_6619529f-3c74-4534-9c94-58b32e97e01a,"{'eoom_e666abf2-eabe-4681-948b-72a9af0c2ed9': ('eoom', 0.8888888888888888), 'jo:m_eb5c00b0-2af8-40ce-b71faab109532ced': ('jo:m', 0.8888888888888888)}"
sëëj2_676891fe-11be-4098-ba43-4c4bd187bf1f,"{'syyj_9f339257-1bc7-4ea1-897f-ad0099dbb709': ('syyj', 0.875), 'saaj_dc3953b0-31fc-42e9-80cd-d36a8c270fb5': ('saaj', 0.875), 'ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3': ('ʃə:', 0.8571428571428571)}"
säg1_6a527141-817f-4a53-a47f-032cdbde864b,"{'ʃʌg_2d575f27-16ba-4d8b-b93bc3707a2b03f9': ('ʃʌg', 1.0)}"
haa_6a83eb37-c1ab-4dc2-8210-1d9195abca43,"{'ha:k_c0fa3ce4-38f4-40ac-bb8c1f8ae64f94a0': ('ha:k', 0.8571428571428571), 'ha1_d8ff5f99-7c38-4ed3-ae5a-ceba827841bf': ('ha', 0.9)}"
apëëh_6a9e3b06-de1f-422d-a058-053dfc248b66,"{'abə̰:h_61005ddd-f254-40c6-b2cd2f1a0e5ce7b5': ('abə̰:h', 0.8636363636363636)}"
jahamad_6d3a98b8-7a59-4188-ab3b-8ebcdb2d3359,"{'jamad_275da60d-aa15-4ba5-9b8a77e7ba77e472': ('jamad', 0.875)}"
heg’ããs_701ede49-6082-49ba-9bb8-839bb0f857e8,"{'hagã̰:ʃ_4d9901f6-f587-460a-86b1a99f9948abdb': ('hagã̰:ʃ', 0.875)}"
jaah_73c5535f-972b-4711-b80a-904d9c468a08,"{'j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378': ('j’aa', 0.875), 'jə:h_d594696f-9f99-4a8a-bf42436ae849f0c6': ('jə:h', 0.875)}"
awaar_7941eab2-6521-4894-ab06-a769c7e59eba,"{'kawaar_1caf872b-78e3-4ad8-a6f2-fbba04c0f76b': ('kawaar', 0.9090909090909091)}"
sëëw_7c511834-586a-456c-884a-02fda6ccd6aa,"{'ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3': ('ʃə:', 0.8571428571428571)}"
tahóh_7d735435-5f43-4a8a-94db-87f4e51b960a,"{'tahoh_a4a0b6ab-42e7-4223-95dc11ad8b23e9ef': ('tahoh', 0.9)}"
maj’ëe_7d9b566b-8897-43aa-aa2c-44c3136b2409,"{'maj’ëeh_7d9b566b-8897-43aa-aa2c-44c3136b2409': ('maj’ëeh', 0.9615384615384616)}"
t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12,"{'t&apos;ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': (""t'ëëng"", 1.0), 'tëëng1_973a6d9c-adec-4a58-98e0-2ac2c9961a59': ('tëëng', 0.9444444444444444)}"
awa_81084abe-5872-41b3-bb65-8b687a3b00a1,"{'kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d': ('kawa', 0.8571428571428571), 'awad3_62a55d3c-fa39-4a7a-8dbf-01f9b2c196bd': ('awad', 0.8571428571428571), 'awas_a6203a13-3843-4ad1-87a4-8df273641d0a': ('awas', 0.8571428571428571)}"
hajaar_8214f460-f0df-4453-97a7-9b50fa6d0cb4,"{'haja̰:_0e588062-5b1b-40b9-be2057b3c3c79c72': ('haja̰:', 0.875)}"
dõm_821df784-fbcb-40de-a505-a26f965d09ed,"{'õm_31f249cf-2b84-428d-8cd9-657c8d35e6f4': ('õm', 0.8571428571428571), 'tõm_9c34cae8-d703-4bd1-b57d-7a96c6a5281a': ('tõm', 0.875)}"
p’ooh1_8351b529-6dec-4374-bbcc-30b2cb59847d,"{'pooh_bdd27c96-ea96-4676-845e-c97461c4e435': ('pooh', 0.9444444444444444), 'po̰:h_0978090e-f818-4a26-b58cf420dbef4260': ('po̰:h', 1.0), 'pṵ:h_f3f47438-a4db-4f2e-96e195798984f94': ('pṵ:h', 0.9), 'p’ooh_8351b529-6dec-4374-bbcc-30b2cb59847d': ('p’ooh', 1.0)}"
nooh_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943,"{'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4': ('dooh', 0.875), 'nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4': ('nuuh', 0.875), 'noo1_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': ('noo', 0.9285714285714286)}"
waëë_860ebf6f-0614-4d29-b3a5-bc6d391c2301,"{'wëë_aa8555ee-bca6-4074-a9cd-061cb1c06ff5': ('wëë', 0.8571428571428571), 'wə:_9485bb49-c230-459f-b30e231a60b19151': ('wə:', 0.8571428571428571)}"
p’eets hẽ_861f321d-8e0a-420b-ade0-944ee4181915,"{'p&apos;ëëts hẽ_861f321d-8e0a-420b-ade0-944ee4181915': (""p'ëëts hẽ"", 0.8888888888888888)}"
hooj1_8685f141-0aa5-4267-b4cb-681284bbe011,"{'hooj2_96c60cce-1d22-4b41-8ed3-e5948e58cd74': ('hooj', 1.0), 'ooj_abc3063b-7d75-430c-9300-005e926c6475': ('ooj', 0.8571428571428571)}"
tyyw_87e0c426-d593-4ca1-8704-61dc46d5dc73,"{'tɨ:_e4e003b3-b87d-4e64-853a137ee8f53b30': ('tɨ:', 0.8571428571428571)}"
sëën_89e12256-aa4d-4789-a64e-fc333256a009,"{'ʃə:_77981701-bff1-498b-a88bf2ff0d46a7a3': ('ʃə:', 0.8571428571428571), 'ə:n_eb201827-9f6d-4018-a8dde4f259bf9839': ('ə:n', 0.8571428571428571), 'ëën_fe7eb662-ab08-4960-beed-46e3474784d5': ('ëën', 0.8571428571428571)}"
hëë_91665d7c-02fc-42cc-ac63-c3b81b7f4576,"{'hëëj_d8cd3b39-bb36-4332-b938-a6f4b9560376': ('hëëj', 0.8571428571428571)}"
awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978,"{'wʌt_6f82fc68-dc2b-409a-86de9dcd3f28347f': ('wʌt', 0.8571428571428571)}"
kabë2_95545367-b996-4a77-88a4-91898494b4b3,"{'kabə:_1cd66356-7a6f-4152-b323ad2a5c5aabaf': ('kabə:', 0.9444444444444444)}"
mayb2_95cb9f80-3207-4f7e-8ca5-f258d4800f3e,"{'mab_16e3e64e-d991-4ea2-80ce-8e5bd4936d8a': ('mab', 0.8571428571428571)}"
hooj2_96c60cce-1d22-4b41-8ed3-e5948e58cd74,"{'hooj1_8685f141-0aa5-4267-b4cb-681284bbe011': ('hooj', 1.0), 'ooj_abc3063b-7d75-430c-9300-005e926c6475': ('ooj', 0.8571428571428571)}"
mỹỹm_97557290-0196-462e-8057-e1ef84dc9ee7,"{'ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb': ('ỹỹm', 0.8888888888888888), 'ɨ̃:m_b7f8608c-1aaa-4014-b04d968cde2f7f88': ('ɨ̃:m', 0.8888888888888888), 'ỹỹm1_c5454b3c-10c6-4bf4-936d-38c30dd989de': ('ỹỹm', 0.8888888888888888)}"
tahʹỹỹb_979a8c31-a85b-459d-b598-414010f8b465,"{'hɨ̰̃:b_13495014-5582-4f05-84fc3cb0ed8b0ed3': ('hɨ̰̃:b', 0.8571428571428571), 'tah&apos;ỹỹb_979a8c31-a85b-459d-b598-414010f8b465': (""tah'ỹỹb"", 1.0)}"
kamarab_9834bf06-b6ae-4946-9bdc-ee67fec8e3be,"{'kamara_af85b9e0-1a4c-4e8f-8374-b9591d91f1fc': ('kamara', 0.9230769230769231)}"
nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4,"{'nooh_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': ('nooh', 0.875), 'u:h_1173027f-de25-43fe-b73c8e947d64965e': ('u:h', 0.8571428571428571), 'du:h_1c1e2650-1809-4f40-a14833b3a9902630': ('du:h', 0.875)}"
masoo_9ce33e0d-aa4c-444b-921e-bcdca4f98778,"{'masook2_bad07ccf-c8ca-47a3-b227-48abab0ed633': ('masook', 0.9090909090909091), 'baʃo:h_c72d9c5c-d8fc-4c06-9f6df9ef9f262f1b': ('baʃo:h', 0.8636363636363636)}"
syyj_9f339257-1bc7-4ea1-897f-ad0099dbb709,"{'sëëj2_676891fe-11be-4098-ba43-4c4bd187bf1f': ('sëëj', 0.875)}"
warahen2_9f60eea4-12af-4bff-b76f-4b605295b5a8,"{'warahen1_d19ed409-f161-40d6-90a9-dede5c019714': ('warahen', 1.0), 'warahén_d19ed409-f161-40d6-90a9-dede5c019714': ('warahén', 0.9285714285714286)}"
jëë_a0520e71-1c6b-440a-bfb4-073d8767e810,"{'jə:_2c080526-9fce-432c-a1b147f3bcf43968': ('jə:', 1.0), 'jə:h_d594696f-9f99-4a8a-bf42436ae849f0c6': ('jə:h', 0.9285714285714286)}"
ajäm_a28f3a39-1a03-4329-9382-9bab24145953,"{'ajəm_e532759c-75f9-441c-967df4322a5dd35d': ('ajəm', 0.875)}"
sarin_a3e45e2f-99e7-44d1-a279-20f03a1e0d70,"{'ʃari_9bab4546-0543-401f-98701f73db2dbb5e': ('ʃari', 0.8888888888888888)}"
ebaan_a4743021-4fb5-4c67-a96c-b605a21e6d44,"{'ema:n_03582b22-b335-4af8-8c232043541e28f9': ('ema:n', 0.9)}"
