entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,bibliography,other_sources
karaʃe:_bbead827-d2c2-4ae6-b7d5bcfcf27ce44b,karaʃe:,stem,karaʃe:,{},"{'karasee1_bbead827-d2c2-4ae6-b7d5-bcfcf27ce44a': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['cad29c1d-b5eb-4580-99ff-8a4e5dc15a9d'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'karasee'}
ahɨ̰̃:t_bc76a4f6-6266-4537-88b92837a102a9e2,ahɨ̰̃:t,stem,ahɨ̰̃:t,{},"{'ahʹỹỹt_bc76a4f6-6266-4537-88b9-2837a102a9e1': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['f05b96d8-0301-4197-a9db-640ec80f477a'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'ahʹỹỹt'}
atɔn_bc968ce0-9509-4ec9-b8d1a524b3bef357,atɔn,stem,atɔn,{},"{'tón_a00d1bb1-25e3-4c3d-953c-57dd3b546cd4': {'type': '_component-lexeme', 'variant-type': 'Weir'}, 'atón_bc968ce0-9509-4ec9-b8d1-a524b3bef356': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['a7ee66be-0850-4c03-875b-74123fd737e3'],2018-03-08T07:17:53Z,SIL Dict 2011,"{'Weir': 'tón', 'Sil Dict 2011': 'atón'}"
kamag_bc987b37-12a6-49c4-a1b8209cf0f6a9f7,kamag,stem,kamag,{},"{'kamag_bc987b37-12a6-49c4-a1b8-209cf0f6a9f6': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['5c356c25-ce12-4ca2-ac95-f94fb53e4500'],2018-06-20T05:09:53Z,Martins,{'Martins': 'kamag'}
abi:_bd3c588b-d116-42fc-b2381c92088338e3,abi:,stem,abi:,{},"{'abii_bd3c588b-d116-42fc-b238-1c92088338e2': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['a5fa8680-0856-417b-b767-0627f3da7a37'],2018-03-08T07:17:52Z,SIL Dict 2011,{'Sil Dict 2011': 'abii'}
ʃõc_bda18a4b-25b2-46d9-a02e8c971679f675,ʃõc,stem,ʃõc,{},"{'ʃɔ̃ɟ_3cbecb22-d966-45e2-a70d-7aeed4c1b9b8': {'type': '_component-lexeme', 'variant-type': 'Martins'}, 'sõts_bda18a4b-25b2-46d9-a02e-8c971679f674': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['75c5f829-6e42-43df-8ede-9a45fd543f60'],2018-03-08T07:17:53Z,SIL Dict 2011,"{'Martins': 'ʃɔ̃ɟ', 'Sil Dict 2011': 'sõts'}"
mata:p_bdf299b5-88bf-4c21-b8e8ab6aa7c846e4,mata:p,stem,mata:p,{},"{'mataːp_bdf299b5-88bf-4c21-b8e8-ab6aa7c846e3': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['af47ead9-1537-49b3-a0b4-d279ae0651dc'],2018-06-20T05:09:53Z,Martins,{'Martins': 'mataːp'}
ʃɛ̃ɲ_be21c4df-a499-4845-8c0511cf77d20d3f,ʃɛ̃ɲ,stem,ʃɛ̃ɲ,{},"{'ʃɛ̃ɲ_be21c4df-a499-4845-8c05-11cf77d20d3e': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['bccd27c3-373e-4a1c-839a-6006dd6afa0b'],2018-06-20T05:09:53Z,Martins,{'Martins': 'ʃɛ̃ɲ'}
marahud_be32a4cd-3200-41a9-bd5c98c7e9a363c4,marahud,stem,marahud,{},"{'maɾahud_be32a4cd-3200-41a9-bd5c-98c7e9a363c3': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['dc609694-79a3-4c2a-8238-e0d0dd1d7ee2'],2018-06-20T05:09:53Z,Martins,{'Martins': 'maɾahud'}
baraja:_be39ff9b-9dbb-4c1d-a9d12057f788873b,baraja:,stem,baraja:,{},"{'baɾajaːʔ_be39ff9b-9dbb-4c1d-a9d1-2057f788873a': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{'Note': 'Predicted phonemic form from source Barbosa.'},['d984594b-4e06-43b6-bd2b-431609ff3c54'],2018-06-20T05:09:54Z,Barbosa,{'Barbosa': 'baɾajaːʔ'}
gawẽn_becd4522-bfee-498e-b03469e35d3915da,gawẽn,stem,gawẽn,{},"{'gawẽn_becd4522-bfee-498e-b034-69e35d3915d9': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['85489b82-dc9d-4e03-ad2d-a136f079d042'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'gawẽn'}
ʃĩ:n_bef46c0d-3efb-4cc7-b2c41a829fc17d97,ʃĩ:n,stem,ʃĩ:n,{},"{'ʃĩːn_0a072400-6d07-4363-bfb7-e37fe79048b5': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'cobra coral'}, 'sĩĩn_bef46c0d-3efb-4cc7-b2c4-1a829fc17d96': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['7693b61a-ed61-4709-9cf5-037de32b820f'],2018-03-08T07:17:53Z,SIL Dict 2011,"{'Barbosa': 'ʃĩːn', 'Sil Dict 2011': 'sĩĩn'}"
ha:k_c0fa3ce4-38f4-40ac-bb8c1f8ae64f94a0,ha:k,stem,ha:k,{},"{'haːk_c0fa3ce4-38f4-40ac-bb8c-1f8ae64f949f': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{'Note': 'Predicted phonemic form from source Barbosa.'},['9e5c6254-d1c4-4be6-9063-f8fb832a183f'],2018-06-20T05:09:54Z,Barbosa,{'Barbosa': 'haːk'}
bahɨ̃ɲ_c1c40f94-2c13-43af-bf915659b2fe5eb0,bahɨ̃ɲ,stem,bahɨ̃ɲ,{},"{'bahɨ̃nh_c1c40f94-2c13-43af-bf91-5659b2fe5eaf': {'type': '_component-lexeme', 'variant-type': 'Weir 1986'}}",{'Note': 'Predicted phonemic form from source Weir.'},['1d1f941d-cb57-4ab4-95b0-083136306f6c'],2018-06-20T05:09:54Z,Weir 1986,{'Weir': 'bahɨ̃nh'}
