,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
tɔh_8d972ca7-eb48-44bc-8a2875acfa8f6be3,encontrado na cartilha 4; lição 5,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,tɔh,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'tóh'},tɔh,['baa9fb77-a93c-4e8d-9af2-10f58eff43fc'],"{'tóh_8d972ca7-eb48-44bc-8a28-75acfa8f6be2': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 5'}}",{}
wag_8e115e84-a585-4b9b-b928f6f64aa36702,encontrado na cartilha 4; lição 3,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,wag,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'wag'},wag,['e236ec8b-9350-4124-b3af-c55a895b529a'],"{'wag_8e115e84-a585-4b9b-b928-f6f64aa36701': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 3'}}",{}
jə́k_8ea98caa-1b27-401e-bea37d9728cb33e5,Weir 1986,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z,jə́k,stem,{'Note': 'Predicted phonemic form from source Weir.'},{'Weir': 'yʉ́k'},jə́k,['f1837912-357f-46ea-b0f5-83c00e1c9023'],"{'yʉ́k_8ea98caa-1b27-401e-bea3-7d9728cb33e4': {'type': '_component-lexeme', 'variant-type': 'Weir 1986'}}",{}
gə:bã_8f10f39a-ec63-481b-9f2133a2727a45ba,encontrado na cartilha 4; lição 16,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,gə:bã,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'gëëbã'},gə:bã,['effb7c71-559d-46ab-8522-7f609a9c5f3c'],"{'gëëbã_8f10f39a-ec63-481b-9f21-33a2727a45b9': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 16'}}",{}
gabok_9288536e-4047-4b13-aedb1a10b207ea08,cartilha 4; lição 4,2018-03-26T16:29:15Z,2018-03-26T16:29:15Z,gabok,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'gabok'},gabok,['282db821-28d3-43a6-bfd5-5f739c562939'],"{'gabok_9288536e-4047-4b13-aedb-1a10b207ea07': {'type': '_component-lexeme', 'variant-type': 'cartilha 4; lição 4'}}",{}
gḛ̃:_940cc5b0-93a4-4d38-ad1a77c33f6a1ca3,encontrado na cartilha 4; lição 13,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,gḛ̃:,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'gʹẽẽ'},gḛ̃:,['9d03c8d2-918e-429c-9f37-ce8d5b64df51'],"{'gʹẽẽ1_940cc5b0-93a4-4d38-ad1a-77c33f6a1ca2': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 13'}}",{}
do:_96f3879f-cf4c-469d-ac464a89f9d8374e,Weir 1986; 1990  e 11,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,do:,stem,{'Note': 'Predicted phonemic form from source Weir.'},{'Weir': 'doo'},do:,['1973b362-0278-4803-9d9b-0c14e12255b5'],"{'doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d': {'type': '_component-lexeme', 'variant-type': 'Weir 1986; 1990  e 11'}}",{}
nu ʃawa̰:k_977412f9-7590-45ca-99169fae2e70aabb,SIL Dict 2011,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,nu ʃawa̰:k,phrase,{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},{'Sil Dict 2011': 'nu sawʹaak'},nu ʃawa̰:k,['9cfe8232-c3c5-435e-8c6e-2780b0bc1008'],"{'nu sawʹaak_977412f9-7590-45ca-9916-9fae2e70aaba': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
aʃɔ̰p_9a0f45b4-47f9-4328-94d5a9404e31e4f0,Martins,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z,aʃɔ̰p,stem,{'Note': 'Predicted phonemic form from source Martins.'},{'Martins': 'ʔaʃɔ̰p'},aʃɔ̰p,['ab82840e-3c79-4f10-a08b-12ed7855322e'],"{'ʔaʃɔ̰p_9a0f45b4-47f9-4328-94d5-a9404e31e4ef': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
gawə̰:ʃ_9e8c3242-9648-4b6e-891590a6b6dc4037,encontrado na cartilha 4; lição 6,2018-03-08T07:17:53Z,2018-03-08T07:17:53Z,gawə̰:ʃ,stem,{'Note': 'Predicted phonemic form from source Cartilhas.'},{'Cartilhas': 'gawʹëës'},gawə̰:ʃ,['c0c5d23e-3f56-48b5-a06e-46c9e2be5126'],"{'gawʹëës_9e8c3242-9648-4b6e-8915-90a6b6dc4036': {'type': '_component-lexeme', 'variant-type': 'encontrado na cartilha 4; lição 6'}}",{}
