entry_id,status,matches
ah&apos;ook_35fa4e5d-3c45-485c-86fc-f0fe63c0413f,,"{'mahʹõõk_539045c3-27c3-4505-bfd8-c07905439195': ('mahʹõõk', 0.8928571428571429), 'ahoog_86909127-d6a9-47da-afae-0e5865240388': ('ahoog', 0.8636363636363636), 'aho̰:k_35fa4e5d-3c45-485c-86fcf0fe63c04140': ('aho̰:k', 1.0)}"
hawät3_38021475-4b06-4fbf-89f0-bfdce2e8beed,,"{'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 0.8888888888888888), 'hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7': ('hawʌt', 1.0)}"
hewooj_397db076-cf3b-4301-9885-681cbbd2ec19,,"{'hewo:ɲ_397db076-cf3b-4301-9885681cbbd2ec1a': ('hewo:ɲ', 0.9166666666666666)}"
p&apos;õõd_3c008e5f-3857-4929-be3f-61619adf7862,,"{'põ̰:d_10e5af7f-29aa-4fa9-82c98ab0dadec297': ('põ̰:d', 1.0), 'pɔ̰̃:d_708f622c-e2c2-456a-a655df9b7f44ae2': ('pɔ̰̃:d', 0.9166666666666666), 'pɔ̰̃:d_ab0cfaae-c21c-4d6f-a26cb1212aa99937': ('pɔ̰̃:d', 0.9166666666666666)}"
hawät2_3d56498e-1714-4d02-8a5b-f5e0c8b83b18,,"{'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 0.8888888888888888), 'hawʌt_ee5984fe-4b74-4ff7-994be1c68e1486b7': ('hawʌt', 1.0)}"
ma&apos;ëëts_401e55d0-b859-4ce4-b1bc-350692fd76a2,,"{'maëts_401e55d0-b859-4ce4-b1bc-350692fd76a2': ('maëts', 0.9)}"
doo5_41f16ef0-fc1b-41c2-a6f2-af2c7356d1c9,,"{'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4': ('dooh', 0.9285714285714286), 'doːh2_f09ac595-bfa8-49ef-8682-d9715ae4591b': ('doːh', 0.9285714285714286), 'do_fd9bc761-cadc-4cb2-8af8-d271ab95e039': ('do', 0.9), 'adoo _ffb10994-9087-43c5-a1e5-3f3380e7547a': ('adoo', 0.8571428571428571), 'do:_53082cdc-d65b-4949-94043a47fd80f8b6': ('do:', 1.0), 'do:_8f96a134-db02-4580-a0d5599f0a181e2': ('do:', 1.0), 'do:_96f3879f-cf4c-469d-ac464a89f9d8374e': ('do:', 1.0), 'do:_b37dc192-f0fc-4fc4-acf9e4423cdd81e2': ('do:', 1.0)}"
ỹ2_44326e66-729c-4ee4-bb17-3fab46c26650,,"{'ỹỹ3_1fab850f-da95-4fff-8e60-596d84365d2f': ('ỹỹ', 0.9), 'ỹỹ1_69bb7e8c-5cfd-44b4-ae68-52a804cc60ed': ('ỹỹ', 0.9), 'ỹ_acdb0c0b-2c0f-454f-91d1-eea4498bebf7': ('ỹ', 1.0), 'ɨ̃:_940740bd-e5dd-4023-b3e383d09a805728': ('ɨ̃:', 0.9)}"
pyym_48a754db-ea05-4440-bcad-eec33e19477e,,"{'p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b': ('p’yym', 0.9444444444444444)}"
p&apos;ooj_48aff069-4380-4bd8-9798-ba08efaa4c7d,,"{'po̰:_1a344c25-1fe2-4d38-87cea679b8b74d31': ('po̰:', 0.8888888888888888)}"
sẽẽ_4a265a7c-06dc-406e-acbf-361618b09a42,,"{'seeh2_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d': ('seeh', 0.875), 'sẽẽj2_31d20726-ce1f-4f98-a01d-4dabbd5a7721': ('sẽẽj', 0.8888888888888888), 'ʃe:h_7ae1b6f3-336e-4130-bcf57e76f3853f43': ('ʃe:h', 0.875)}"
