entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
aeh_3d0b7e07-8f49-48f7-afb4-c7e4cf0c3802,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:52Z,,aeh,stem,{},"{'Sil Dict 2011': 'aeh, eh, ewëëh'}",ʔeh,"['e24b937d-f986-4e73-a3bd-5b6b59a0a01a', '0cd8054f-f383-43b9-a8f7-77956756bf4c']",,{}
atsyg_3d3ca524-9de1-4dbd-b4ff-793114c0a44a,Fieldnotes Epps/Obert; 2018,2018-07-08T16:58:43Z,,atsyg,stem,{},,ʔaˈtʃɨg˺,['5c4087cc-f303-484d-aa07-5c1b30efbcae'],,{}
aee_3d4097da-3f43-4698-ba2e-27aa24c0da6b,SIL Dict 2011,2018-03-08T07:17:52Z,,aee,stem,{},,ae:,,,"{'e24b937d-f986-4e73-a3bd-5b6b59a0a01a': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
këg_3d7118b4-f28d-48cf-96da-1e6d671403c6,Fieldnotes Epps/Obert; 2018,2018-07-06T19:15:47Z,,këg,stem,{},,kǝg,['86d4ca5d-1c9f-4117-8774-ad915272b7c0'],,{}
kawad puuw1_3df027b0-fff3-4f27-bc4a-2e9a507a013c,Fieldnotes Epps/Obert; 2018,2018-09-03T23:31:48Z,,kawad puuw,phrase,{},,kaˈwad pu:w,['7d751aa3-1b35-4a2a-9c4b-60a29dcba06a'],,{}
aw’yy_3e061932-3d4a-46c8-9c3e-0879bbb207aa,Fieldnotes Epps/Obert; 2018,2018-07-08T17:00:00Z,,aw’yy,stem,{},{'Sil Dict 2011': 'awʹyy'},ʔaˈwɨʔɨʔ,['384ceb20-ad1e-49e0-9735-8dae2ec53394'],"{'awʹyy_c7d163a6-e5e2-430a-86e3-739acf52b061': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
kado_3e326eb0-8e07-4c3e-8921-bd1519b9edac,SIL Dict 2011,2018-03-22T21:21:26Z,,kado,stem,{},,kado,,,"{'kadoo_a513c054-bea8-4c2d-8908-2cad00d509c8': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
atsëm_3e48f310-3d32-4d81-9074-b841d0ae6f78,SIL 2011; Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,atsëm,stem,{},,ʔaˈtʃ’ǝbm,['6477dcb2-a559-4f61-96b5-a8d8a8772f12'],,{}
tëg_3e9706fe-48bd-40b2-95c5-b58ca6cc9388,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,tëg,stem,{},"{'Barbosa': 'təg', 'Weir': 'tʉg'}",tǝg˺,"['9bc0787b-776f-4b24-a29b-4627de52eabe', '00dc1fc9-9d03-4ae0-baf4-8f3a229ba4b1']","{'təg_5274f710-a448-4a0d-9978-07c63581e8d3': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'dente'}, 'tʉg_859e91f2-79fa-457a-8bc6-ed37f1d8738e': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1990; tooth'}}",{}
kata_3eb7ccd4-c020-4a9f-aa39-6024fd8231ea,SIL Dict 2011,2018-03-08T07:17:53Z,,kata,stem,{},,kata,,,"{'cd962a77-92e5-4f64-8d18-27b4f9b75d40': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
