entry_id,bibliography,citation_form,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
ji wii_a32a18a4-6f7b-485f-970d-b32459229373,Fieldnotes Epps/Obert 2018,,2018-07-06T20:27:47Z,,ji wii,phrase,{},,jiʔˈwi:ʔ,['05113311-c10a-487a-9113-cc9a011fe458'],,"{'ji_5c846915-d6fc-437b-8c7d-67cffc4f1362': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}"
dén_a34486b3-8510-4e08-b3a3-222244121a73,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,dén,stem,,{'Martins': 'dɛn'},dɛdn,['85079af8-aff3-4871-a735-d2c5e92c2349'],"{'dɛn_d2b3947a-62a9-499f-a2db-b953e9ae2cd0': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
sarin_a3e45e2f-99e7-44d1-a279-20f03a1e0d70,Fieldnotes Epps/Obert 2018,,2018-07-27T22:58:35Z,,sarin,stem,{},,,['a4f007b6-bc8f-466e-85ae-cd7fb76c8f9f'],,{}
ebaan_a4743021-4fb5-4c67-a96c-b605a21e6d44,Fieldnotes Epps/Obert 2018,,2018-07-08T18:17:57Z,,ebaan,stem,{},,ʔe ˈbã:n,['a7ca0748-82d5-4f99-8f89-0fef61c7c8ae'],,{}
amaaj_a5a8c5a4-ff77-48be-a14c-a8dd2d196e96,Fieldnotes Epps/Obert 2018,,2018-07-27T22:49:52Z,,amaaj,stem,{},,,['084dc0d5-4123-441b-8f4f-fc8204e76ba5'],,{}
awas_a6203a13-3843-4ad1-87a4-8df273641d0a,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,awas,stem,,,ʔawaʃ,['56b8a4f3-9b5e-4bd6-be92-4fd601ead5cc'],,{}
takod_a630902b-b26a-4906-870e-2c4c62b001b1,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,takod,stem,,,takod̚,['211f702c-327a-4edb-ad92-3b10980b1502'],,{}
eëëk_a6772535-05f5-4859-8007-ff6a89c86664,Fieldnotes Epps/Obert 2018,ëëk,2018-03-08T07:17:53Z,,eëëk,stem,{'Note': 'problem: ʔeʔˈǝ:k or ʔeʔˈɨ:k'},,ʔeʔˈǝ:k,['b6b2eacc-3cd5-4627-aa03-efc2d1cb0ae0'],,{}
japũũn_a77d9223-0041-4bcf-b223-2f5b7ba7a1dc,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,japũũn,stem,,,japũ:n,['61eb6c89-62e9-4d43-9631-a60b3b75416f'],,{}
kããn s’ëëb_a88957b3-2fb8-4636-9c28-fc547cc51306,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,kããn s’ëëb,phrase,{'Note': 'lit. cana feito'},,kã:n ʃəʔəb̚,['f035b45c-778c-47e1-b960-a5c5268c0195'],,{}
nu mam’ets_a8c51389-ad02-44b3-918d-af90e6e438ba,Fieldnotes Epps/Obert 2018,,2018-07-07T17:39:42Z,,nu mam’ets,phrase,{},,nũ mãˈmeɉ,['7671c5b4-a8ba-4cf5-9aa7-c6954fd27aeb'],,{}
d’uuj_aa238362-6f1a-4a52-a41b-27843f79a688,Fieldnotes Epps/Obert 2018,,2018-09-04T00:53:17Z,,d’uuj,root,{},,dṵ:j,['9e1223a6-228a-4d4d-ba2f-25ef8804f6d7'],,{}
ewʹoop_aa484e52-5ec5-4386-8ced-13080fe509af,Fieldnotes Epps/Obert 2018,wʹoop,2018-03-08T07:17:53Z,,ewʹoop,stem,{},,ʔeˈwoʔop˺,['30b6b00e-35b7-4f21-b03c-a7e38c3e76cd'],"{'awoob_d3d5776a-9436-4663-adca-234b779ecc89': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",{}
wëë_aa8555ee-bca6-4074-a9cd-061cb1c06ff5,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,wëë,stem,{},,,['7ddabbf3-62e0-4d27-8810-382c9d945a3d'],,{}
ooj_abc3063b-7d75-430c-9300-005e926c6475,Fieldnotes Epps/Obert 2018,,2018-07-06T18:21:37Z,,ooj,stem,{},,[ʔo:j],['14811108-3b59-4c9c-8e11-d81a6507a241'],,{}
awëh_ad9e6c80-0862-401d-9958-6bba1d783910,Fieldnotes Epps/Obert 2018,wëh,2018-03-08T07:17:53Z,,awëh,stem,{},"{'SIL Dict 2011': ""Plural: aw'ëë, Não indicativo: awëë, Plural: awëëh, Não indicativo: awëëh""}",ʔaˈwǝh,['c0c1298f-d950-4c9f-9feb-acf2ce7bfe06'],"{'aw&apos;ëë_17f873bb-0102-4908-bf53-10dcf9a80e4c': {'type': '_component-lexeme', 'variant-type': 'Plural'}, 'awëë_5f29ef42-d977-431b-b92e-22c38ee3a8cc': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'awëëh2_8393e2f2-37ff-47c8-a761-cb942a7e9830': {'type': '_component-lexeme', 'variant-type': 'Plural'}, 'awëëh1_bae5902d-b878-446f-9bd5-90947c8ab976': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",{}
ji tsyym sahõnh hẽ_aeffdfca-557a-4b2e-84d8-63802e1f73f5,Fieldnotes Epps/Obert 2018,,2018-07-27T19:50:00Z,,ji tsyym sahõnh hẽ,phrase,{},,ji tʃ’ɨ:bm ʃaˈhɔ̃ɲ ˈhẽʔ,['96393d18-7f80-4a9e-998b-120f63260717'],,{}
kamara_af85b9e0-1a4c-4e8f-8374-b9591d91f1fc,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,kamara,stem,,,kabmãɾaʔ,['78f7de6c-c116-4da4-8294-89b1ce719807'],,{}
adëb_af8db4b9-6dae-4999-9503-d81a5bfa101e,Fieldnotes Epps/Obert 2018,,2018-07-05T13:34:42Z,,adëb,stem,{},,ʔadǝb˺,['967dd8eb-840d-4ec3-bbf1-79adc3a6e411'],,{}
j’ããr_afb2c658-3980-4715-a1ca-bed049b872a9,Fieldnotes Epps/Obert 2018,,2018-07-27T23:01:42Z,,j’ããr,stem,{},{'Martins': 'jã̰ːɾ'},jaˈʔaɾǝ,['4f6cd69b-ecc3-4e16-af60-cd4750c24c9d'],"{'jã̰ːɾ_84285bfb-a147-47a4-a0d0-30818be5a223': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
tsapap_b158b9b9-46e9-4298-9779-2b01c1e2d72a,Fieldnotes Epps/Obert 2018,,2018-07-05T13:51:44Z,,tsapap,stem,{},,tsapap,['a057e6a2-cb4c-4fae-9b17-509164eb73b8'],,{}
hyb n’aa newëë_b19ae730-3f6e-42da-b0b5-1354d9e044d1,Fieldnotes Epps/Obert 2018,,2018-07-10T23:20:27Z,,hyb n’aa newëë,phrase,{},,hɨb˺ naʔaʔ neʔˈwǝ:ʔ,['85ac41ac-e911-4d6d-8c0d-c3e7cd8fde16'],,{}
tÿÿg_b227568f-8dc2-4857-96ad-54678f3975b5,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,tÿÿg,stem,{},,tə:g,['198a656a-bddb-463f-8901-a04cb3d349e6'],{},"{'wéén tÿÿg_c58137ca-5fbf-4bf7-9557-d9503bd26be0': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}"
makaw_b24906ef-a2ca-4269-ba43-42bf64eb4f27,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,makaw,stem,,,mãkaw,['dbfa060e-6355-4b31-bfc6-7fcc4b3756ef'],,{}
hetsyyd doo_b252c124-b4cc-4123-ba55-830489440869,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,hetsyyd doo,phrase,,,heʔtʃɨ:d̚ do:ʔ,['fddffcd4-f85d-4c97-b3c1-281d165b93db'],,{}
riw_b2627ce9-6b29-4b7f-9e0a-a1e5246074b6,Fieldnotes Epps/Obert 2018,,2019-01-14T03:46:55Z,,riw,stem,,,ɾiw,['c50cf63e-585e-4081-9ac5-717e89ee7779'],,{}
ỹ_acdb0c0b-2c0f-454f-91d1-eea4498bebf7,Fieldnotes Epps/Obert 2018,,2018-03-08T07:17:53Z,,ỹ,stem,,{'Sil Dict 2011': 'ỹ'},ɨ̃,,,
ji me heet péh_b35586b7-4165-4c55-9d36-7b810719c0c1,Fieldnotes Epps/Obert 2018,,2018-07-27T19:45:33Z,,ji me heet péh,phrase,{},,ji meʔ ˈhe:t˺ ˈpɛh,['d3f3789f-497c-46fc-851e-869de94cdfee'],,{}
gatỹỹj_b41f45cc-ee2a-4d27-b5c8-acb1f83c2c6a,Fieldnotes Epps/Obert 2018,,2018-07-27T23:06:57Z,,gatỹỹj,stem,{},,k’aˈtɨ̃:j,['bf9894a8-4dfa-47e2-b97c-2b2528d5ee96'],,{}
agä_b43dfe1e-4d9c-44c4-966b-7cdca5ef5b85,Fieldnotes Epps/Obert 2018,gä,2018-07-10T15:40:55Z,,agä,stem,{},"{'Sil Dict 2011': 'agä', 'SIL Dict 2011': ""Plural: aj'eenh, Causativo: mag'ëë, Não indicativo: agëë""}",ʔaˈk’ʌʔ,['f04d8c55-09b0-4744-8bbe-2e1ef6eb471f'],,{}
 =kóm_b4ef6f78-08bb-4d23-9cba-f68a176930c7,Fieldnotes Epps/Obert 2018,,2018-03-23T16:07:18Z,, =kóm,stem,{},,kɔbm,"['9e4aac3d-a335-44e5-b2e2-e7e8d10a8df6', 'afac9822-bc45-4171-bcc1-148111de1839']",,{}
gehõk_b5552c55-9b4f-4af3-b075-530fed54518b,Fieldnotes Epps/Obert 2018,,2018-07-09T23:56:28Z,,gehõk,stem,{},,k’eˈhɔ̃k˺,['a110f895-5003-4337-b4a3-202471d74c63'],,{}
kawerii_b720f0b6-f708-4a0a-9112-7536ef9695e3,Fieldnotes Epps/Obert 2018,,2018-07-15T20:31:32Z,,kawerii,stem,{},,kaweʔˈri:ʔ,['a992b1f6-69ca-4e05-9c81-8247409eebf5'],,{}
j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378,Fieldnotes Epps/Obert 2018,,2018-07-15T20:36:41Z,,j’aa,stem,{},{'Martins': 'ja̰ːʔ'},jaʔaʔz,['cf6cb77b-8759-4417-846f-f4615aa01031'],"{'ja̰ːʔ_6b9116ec-f02f-4b64-8159-8be45e5e7321': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{}
