jxooh,jo̰:h
hỹỹj,hɨ̃:j
ä̃nh,ʔʌ̃ɲ
txaah taah,ta̰:h ta:h
toog,to:g̚
karasee see ,kaɾaʃe:ʔ ʃe:ʔ 
egoM  wiih ,ʔeʔkoM  wi:h 
karasee,kaɾaʃe:ʔ
booh ,bo:h 
karasee,kaɾaʃe:ʔ
egoM  sxaah ,ʔeʔkoM  ʃa̰:h 
karasee,kaɾaʃe:ʔ
egoM  sog  sok   ,ʔeʔkoM  ʃog̚  ʃok̚   
oow,ʔo:w
hooj,ho:j
tatxaah,tata̰:h
tatatxaah ,tatata̰:h 
tatoog,tato:g̚
tatatoog ,tatato:g̚ 
hebyy nxaa hebyng,hebɨ:ʔ na̰:ʔ hebɨgŋ
jxooh ,jo̰:h 
ỹỹm,ʔɨ̃:m
patug,patug̚
samad,ʃabmãd̚
sok  sog   takaanh ,ʃok̚  ʃog̚   taka:ɟɲ 
maỹỹn,mãʔɨ̃:n
mayb,mãʔɨb̚
jxooh,jo̰:h
wakan,wakadn
nadëb,nãdəb̚
