entry_id,matches,def
dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4,"{'tooh_6043f2b6-842d-49d1-9764-2fd9ab21b3ba': ('tooh', 'white.lipped.peccary;queixada'), 'nooh_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': ('nooh', 'mouth;boca'), 'nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4': ('nuuh', 'head;cabeça'), 'tũ:h_1b11b954-a8f9-47e3-8041e7ad344c4fb7': ('tũ:h', 'no.chão'), 'du:h_1c1e2650-1809-4f40-a14833b3a9902630': ('du:h', 'nádegas'), 'do:_53082cdc-d65b-4949-94043a47fd80f8b6': ('do:', 'be (n.i. do)'), 'do:_8f96a134-db02-4580-a0d5599f0a181e2': ('do:', 'the.one'), 'dɔ_b34c70de-07c4-4851-930bb7d6ef30937d': ('dɔ', 'ainda'), 'do:_b37dc192-f0fc-4fc4-acf9e4423cdd81e2': ('do:', 'take'), 'noo1_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': ('noo', 'mouth;boca')}",NEG;NEG
atsyg_3d3ca524-9de1-4dbd-b4ff-793114c0a44a,"{'aʃək_fcd2a200-7c82-4ef6-8810d5f7c93bd8fd': ('aʃək', 'lavrar'), 'asyng_c623ba7c-cc1f-4512-8633-6f2b396b2291': ('asyng', 'plant.bitter.manioc;plantar.maniva')}",smoke;fumaça
atsëm_3e48f310-3d32-4d81-9074-b841d0ae6f78,"{'asëm_dc855a5e-e265-4869-9faa-8947234d666a': ('asëm', 'be.arrogant;ser.orgulhoso')}",night;noite
tëg_3e9706fe-48bd-40b2-95c5-b58ca6cc9388,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 'tapir;anta'), 'tyyg_aa58bcaf-dbda-4802-ad73-a4a3d2881445': ('tyyg', 'fire;fogo'), 'tɨŋ_5724ff6d-c354-4517-881fba3c003e92d3': ('tɨŋ', 'support'), 'tɨ:ŋ_e2b5fecf-076d-455e-afca70e5369e1d23': ('tɨ:ŋ', 'assoalho'), 't&apos;ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': (""t'ëëng"", 'tapir;anta'), 'tëëng1_973a6d9c-adec-4a58-98e0-2ac2c9961a59': ('tëëng', 'firewood;lenha')}",tooth;dente
maỹỹn_3ee29e3d-5352-4c3b-adf8-d17f0fcc0206,"{'mahĩĩn_b3b9947d-577e-4f2f-85f6-6f3a3f49c1ef': ('mahĩĩn', 'hot;apimentado')}",mother.in.law;sogra
maëts_401e55d0-b859-4ce4-b1bc-350692fd76a2,"{'ma&apos;ëëts_401e55d0-b859-4ce4-b1bc-350692fd76a2': (""ma'ëëts"", 'curupira;Curupira')}",curupira;Curupira
kawed_401e72f5-e1dc-4968-bc4b-e9fc98db9a07,"{'gawẽn_becd4522-bfee-498e-b03469e35d3915da': ('gawẽn', 'mexer')}",macaw.red;arara.vermelha
esëëh_41147169-f0ca-4b81-8f59-25f9ea75d1e5,"{'etsaa_7d0273f5-bfcc-4597-943c-39bb22d1dfff': ('etsaa', 'glue;colar')}",dream;sonhar
wëm_429bd290-09e2-451d-876e-1e9f8f1d97e2,"{'wyyw_53e36f05-f876-4b30-9d3d-4be4ec11a4ec': ('wyyw', 'tocandira;tocandira'), 'wɨm_d70249ce-c638-4f54-9217c3728f3fc3e6': ('wɨm', 'quatipuru'), 'wɨ̰:m_eda10c90-25f4-4535-b7cf80e5d874e629': ('wɨ̰:m', 'siririca'), 'mab_16e3e64e-d991-4ea2-80ce-8e5bd4936d8a': ('mab', 'on.someones.own;sozinho'), 'wëëm_990d5cb5-98be-420d-9662-a39d1662fc24': ('wëëm', 'bat;morcego')}",bat;morçego
janati2_44596d86-91ab-40aa-bd2d-c32eead8c0bf,"{'janati1_1bd7a005-8171-46fd-a65d-69898076947f': ('janati', 'maize;milho'), 'janati_1bd7a005-8171-46fd-a65d-69898076947f': ('janati', 'maize;milho')}",maize;milho
bato1_449069a7-b371-4bea-ab7c-b7db4e0eac98,"{'badoh_d512d2a8-ef7d-4a6c-9ee5e0b11c89a6ab': ('badoh', 'não.ter')}",coca;ipadu
jóón_45d960e0-b762-437d-bca3-d9c02c5339c6,"{'jood_1a844f70-b0d5-4165-b568-d695b8a70f0a': ('jood', 'anaconda;sucuri')}",cuati;cuati
gawajaah3_473237ec-7ec5-4fc0-88e7-d5033497445e,"{'gawajah_1c43c5f6-18af-437e-90c9-8506069bb3d1': ('gawajah', None), 'gawaja:h_a2ce689e-bdf8-4a72-86b52372cff080e9': ('gawaja:h', 'correr.atrás.de.caça')}",hunt;caçar
gaw’ëëng_475a687b-0e2b-4a1c-bf41-4336e322a2b7,"{'kawə̰:g_b88a3875-3619-4304-b62c9646b1161138': ('kawə̰:g', 'manchas escuras na pele')}",mouse;camundongo
