headword,ipa,entry_id,matches
ji gamehỹỹ doo,ji gamehɨ:̃ do:,ji gamehỹỹ doo_636377d7-1beb-43af-9847-12601662d920,"[('dooh', 'dooh2_f50666b1-7d7e-449a-8205-0cda6a02f920', 0.9285714285714286), ('dooh', 'dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4', 0.9285714285714286), ('mehëëm doo', 'mehëëm doo_bfd36b12-009d-4741-aa26-24642c4403ca', 0.875), ('doo', 'doo2_53082cdc-d65b-4949-9404-3a47fd80f8b5', 1.0), ('doo', 'doo3_b37dc192-f0fc-4fc4-acf9-e4423cdd81e1', 1.0), ('doo', 'doo1_96f3879f-cf4c-469d-ac46-4a89f9d8374d', 1.0), ('doːh', 'doːh1_d9caa3ff-06cc-413b-a9c7-398060ef979c', 0.9285714285714286), ('doo', 'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1', 1.0)]"
hẽnh,hẽɲ,hẽnh_63c8102a-b241-4712-a838-70b21b5a086e,"[('hẽ', 'hẽ1_081a7a8a-0158-4d80-abae-d16c5ebdcef7', 0.8571428571428571), ('hẽ', 'hẽ2_3bf2f3c2-3b71-4c02-9a24-b506631eabbb', 0.8571428571428571)]"
tuʔ,tu,tuʔ1_642a1cd9-3436-4208-94d8-0df53611f237,"[('tuʔ', 'tuʔ2_b248ee55-a422-4c2e-80f5-bd1273f20230', 1.0), ('tu', 'tu_983b21ad-1243-49cf-850f-b9211c029c37', 1.0)]"
esoom,eʃo:m,esoom_643f0104-b9a7-4133-b4f9-46670305d01e,"[('soo', 'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf', 0.8571428571428571), ('eoom', 'eoom_e666abf2-eabe-4681-948b-72a9af0c2ed9', 0.8888888888888888), ('sóóm', 'sóóm_fd2f84a4-1299-4c5e-92f2-d44f1681cf10', 0.875), ('ʃoːʔ', 'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f', 0.8571428571428571)]"
nadëb,nadəb,nadëb1_64797e4a-07d3-4f0b-a899-0a27e395ea25,"[('nadëb', 'nadëb2_7a84a8e6-b357-468d-9c18-010e50f252a2', 1.0), ('adëb', 'adëb_af8db4b9-6dae-4999-9503-d81a5bfa101e', 0.8888888888888888)]"
nãbɤːh,nãbə:h,nãbɤːh_651b7186-2efe-494e-bd70-791d86938189,"[('bʉʉh', 'bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d', 1.0), ('byyh', 'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6', 0.875), ('bëëh', 'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae', 1.0), ('bëëh', 'bëëh1_962a8de8-7f65-4e60-b8a4-c16d27943a32', 1.0), ('baːh', 'baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12', 0.875)]"
ty,tɨ,ty1_661588a1-d6ed-4426-a16d-c316492616e3,"[('tɨɨ', 'tɨɨ_e4e003b3-b87d-4e64-853a-137ee8f53b2f', 0.9), ('ty', 'ty2_aff14eee-a080-4359-931b-8e0eba6379ba', 1.0)]"
ejoom,ejo:m,ejoom_6619529f-3c74-4534-9c94-58b32e97e01a,"[('juum', 'juum_288ff678-6dc5-4fc1-961d-0886a4bc84a4', 0.875), ('eoom', 'eoom_e666abf2-eabe-4681-948b-72a9af0c2ed9', 0.8888888888888888), ('joːm', 'joːm_eb5c00b0-2af8-40ce-b71f-aab109532cec', 1.0)]"
pʹop,po̰p,pʹop_663cf027-4684-4541-a231-ff7dea82110f,"[('pɔ̰p', 'pɔ̰p_d09386a8-6bbf-4a0f-8a4b-6ab7693b239a', 0.875), ('po̰ːp', 'po̰ːp2_d7c15097-e7aa-466b-b75b-f54b0e2625da', 0.9444444444444444)]"
mariij,mari:j,mariij_666383bb-b09a-4b6f-ac6e-83dcafaf8ed5,"[('maliiy', 'maliiy_abf85421-63bf-4020-8f2d-353872522fae', 1.0), ('rii', 'rii_fe01223b-1dfb-48ca-b4be-80ae1b04e1db', 0.8571428571428571)]"
hiːh,hi:h,hiːh_66d26891-79d8-4e55-bd38-4345ac314076,"[('hɨɨh', 'hɨɨh1_4a6af09e-19e4-45b8-8276-00edcd7b1ff8', 0.875), ('hɨɨh', 'hɨɨh2_20301e80-fb96-4e39-b432-945f8939c012', 0.875)]"
sëëj,ʃə:j,sëëj2_676891fe-11be-4098-ba43-4c4bd187bf1f,"[('sëëj', 'sëëj1_ea18d5a2-e0a3-4174-859f-b42bbb3d5e93', 1.0), ('syyj', 'syyj_9f339257-1bc7-4ea1-897f-ad0099dbb709', 0.875), ('saaj', 'saaj_dc3953b0-31fc-42e9-80cd-d36a8c270fb5', 0.875), ('ʃɤːʔ', 'ʃɤːʔ_77981701-bff1-498b-a88b-f2ff0d46a7a2', 0.8571428571428571)]"
wiːʔ,wi:,wiːʔ_6775cf67-0f92-4ae5-a67c-dcd6102dce40,"[('wii', 'wii_8a4348e9-3bfb-46f0-8cd1-c70242ed07b9', 1.0)]"
awẽn,awẽn,awẽn_67ab9868-f5fd-4e70-ba5e-05f6f1fc08f3,"[('gawẽn', 'gawẽn_becd4522-bfee-498e-b034-69e35d3915d9', 0.9090909090909091)]"
ʃawɯk,ʃawɨk,ʃawɯk_687394cd-d7e8-4953-99e3-6c1caa551f59,"[('sawyk', 'sawyk_4639249a-4c4d-48ec-92ad-2cda852204b8', 1.0), ('wɨk', 'wɨk_ae9733f8-5392-4f65-9a45-e0b93ea9affd', 1.0)]"
wɛːɟ,wɛ:tʃ,wɛːɟ_6884ab96-6eac-4ba5-928f-9d985edf2221,"[('w’eets', 'w’eets _fcd31ae9-c266-4ab2-a2ef-60eb3eff61c3', 0.8636363636363636), ('wʹeets', 'wʹeets_574901cb-b566-4eb9-a4ef-ed3b3331ef75', 0.8636363636363636)]"
me,me,me1_69935547-234c-452b-a397-06c63051952f,"[('me', 'me3_55d072cd-437b-41d7-91ee-f93cf6856d86', 1.0)]"
dyyk,dɨ:k,dyyk_6a1391bb-1f7a-4415-8f8e-23390fb46721,"[('adyyk', 'adyyk_a8313ccc-413c-4657-b4ef-14f1259891a3', 0.8888888888888888)]"
kook,ko:k,kook_6a2444a1-51f9-429d-83ad-2dbc45c37cc6,"[('koːk', 'koːk1_82ddb37b-3544-4e8b-87c9-34ef6a494b5f', 1.0)]"
säg,ʃʌg,säg1_6a527141-817f-4a53-a47f-032cdbde864b,"[('säg', 'säg2_2d575f27-16ba-4d8b-b93b-c3707a2b03f8', 1.0)]"
boːh,bo:h,boːh_6a7b644a-7672-4290-94f5-4f812ad24772,"[('bɔːh', 'bɔːh_39fbb0d2-2f48-4e16-8562-2d552408a466', 0.875), ('mooh', 'mooh1_f3b52f1a-d90c-47a3-a82e-0f14c1209ae3', 0.875), ('ebooh', 'ebooh_058fbf01-f274-4cf7-a1c2-8b39c2d69bb1', 0.8888888888888888), ('pooh', 'pooh_bdd27c96-ea96-4676-845e-c97461c4e435', 0.875)]"
haa,ha:,haa_6a83eb37-c1ab-4dc2-8210-1d9195abca43,"[('haːk', 'haːk_c0fa3ce4-38f4-40ac-bb8c-1f8ae64f949f', 0.8571428571428571), ('ha', 'ha_d8ff5f99-7c38-4ed3-ae5a-ceba827841bf', 0.9)]"
sʹoow,ʃo̰:w,sʹoow_6a95cdaa-7d5e-4688-95a3-6ecb4731f4a4,"[('s’oow', 's’oow_bd149bf3-7f4c-42b9-901c-045655c034c8', 1.0)]"
kajero,kajero,kajero2_6b30fdcb-86a6-436d-af31-21759a33458b,"[('kajero', 'kajero1_ab07f191-a5da-4848-bfbc-82ba4420609d', 1.0)]"
ta=,ta ,ta=_6b321888-48e5-4284-8888-97bf4c031f6b,"[('tah', 'tah_396fe9f8-b06b-48e2-92a7-4335e87b321c', 0.9)]"
ja̰ːʔ,ja̰:,ja̰ːʔ_6b9116ec-f02f-4b64-8159-8be45e5e7321,"[('jaah', 'jaah_73c5535f-972b-4711-b80a-904d9c468a08', 0.875), ('j’aa', 'j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378', 1.0)]"
ajooh,ajo:h,ajooh_6b941ece-fe4f-4d4e-a905-9b463ae697d4,"[('yóóh', 'yóóh_610712e1-1290-4290-82f3-37d1b18d75d4', 0.875), ('jʹooh', 'jʹooh_88a205a3-9984-4a54-9fe3-064317482daa', 0.9444444444444444), (""j'ooh"", 'j&apos;ooh_ff2984bb-c88c-4390-b49c-de234bf22ec5', 0.9444444444444444), ('ejooh', 'ejooh_c974a407-e86b-4fe2-9a3d-fadf2bbb7e83', 0.8888888888888888)]"
kalaak,kara:k,kalaak_6c0ebcef-768a-4881-8c44-9ab7a2e1b943,"[('karaak', 'karaak1_e3fbee0f-140f-4414-9435-89051dc09107', 1.0), ('karak', 'karak_6f6f498f-e045-44a7-b814-505bba4b8eb4', 0.9545454545454546), ('karaak', 'karaak2_49cb17c7-16b1-4a6e-a0e1-c1b1b7c2654e', 1.0), ('kaɾak', 'kaɾak_81039392-2c4a-4292-bd5a-c8108e4dbc50', 0.9545454545454546)]"
ehëën,ehə:n,ehëën_6c137c3e-c6ba-42fc-8e6c-d92b4e367289,"[('hëë', 'hëë_91665d7c-02fc-42cc-ac63-c3b81b7f4576', 0.8571428571428571), ('ʉʉn', 'ʉʉn_eb201827-9f6d-4018-a8dd-e4f259bf9838', 0.8571428571428571)]"
watuːɾ,watu:r,watuːɾ_6c6d6af3-914f-4223-af5b-893f529f5156,"[('watoːɾ', 'watoːɾ_aab6381d-36d6-4393-8125-63736f1d57b6', 0.9166666666666666)]"
daːb,da:b,daːb_6c6f913f-603e-4dd7-99d1-c9122d333283,"[('daap', 'daap_2c5b7407-1bb9-4ee2-b743-8ad9b0f2f316', 0.875), ('dab', 'dab_743da3f0-1447-4165-a2ee-5679ce305399', 0.9285714285714286)]"
tug,tug,tug_6c751529-23ec-405f-bec2-ac9a1cd2a826,"[('ɟug', 'ɟug_96302045-3340-4193-98f5-4d19048d0d48', 0.8571428571428571)]"
wapad,wapad,wapad_6d1f39e4-a447-4cba-b3ff-b4b8f1eed9ae,"[('mapaːd', 'mapaːd_f3c7d2d0-2b4f-4816-9890-82193821aa5b', 0.8636363636363636)]"
jahamad,jahamad,jahamad_6d3a98b8-7a59-4188-ab3b-8ebcdb2d3359,"[('jamad', 'jamad_275da60d-aa15-4ba5-9b8a-77e7ba77e471', 0.875), ('jahamaːd', 'jahamaːd_ff8ca9d5-b389-4faf-88b6-3714f610b696', 0.9666666666666667)]"
wakããn,waka:̃n,wakããn_6de60702-4c52-4083-8679-c1460f9d3143,"[('wakan', 'wakan_6e0690f6-875a-434f-aebf-7505b7094008', 0.9166666666666666), ('kã̰ːd', 'kã̰ːd_0e39e610-eab0-434f-95db-a602eca2041d', 0.8636363636363636), ('kaan', 'kaan_7614d499-7ba2-4fe8-8764-704e13c61d5f', 0.9444444444444444)]"
saah,ʃa:h,saah_6e02a210-1c01-428c-a1b3-d6080453fb63,"[('ʃaːh', 'ʃaːh_5b3da68a-6968-434c-b4b0-7f6f03dba96a', 1.0)]"
wakan,wakan,wakan_6e0690f6-875a-434f-aebf-7505b7094008,"[('kane', 'kane_73d83938-7dd3-4d14-8827-94003b6ffa18', 0.8571428571428571), ('wakããn', 'wakããn_6de60702-4c52-4083-8679-c1460f9d3143', 0.9166666666666666), ('kaan', 'kaan_7614d499-7ba2-4fe8-8764-704e13c61d5f', 0.9285714285714286)]"
datu,datu,datu_6e26e381-4219-4b74-9333-70f0ea5f6d4c,"[('tuʔ', 'tuʔ2_b248ee55-a422-4c2e-80f5-bd1273f20230', 1.0), ('tuʔ', 'tuʔ1_642a1cd9-3436-4208-94d8-0df53611f237', 1.0), ('tu', 'tu_983b21ad-1243-49cf-850f-b9211c029c37', 1.0)]"
mahõk,mahõk,mahõk_6e9f39fd-5ff5-47ac-b69e-1c9432b66c90,"[('hɔ̃k', 'hɔ̃k_7ee84e60-c92c-46bb-bfdb-1ba24ed847f4', 0.875)]"
ʃɔːp,ʃɔ:p,ʃɔːp_6ed80681-abaa-4ad6-894e-771dfb41aa9c,"[('ʃɔːʔ', 'ʃɔːʔ_39949de8-fe17-4f70-b967-2053c6b26204', 0.8571428571428571)]"
karak,karak,karak_6f6f498f-e045-44a7-b814-505bba4b8eb4,"[('kaɾak', 'kaɾak_81039392-2c4a-4292-bd5a-c8108e4dbc50', 1.0), ('kalaak', 'kalaak_6c0ebcef-768a-4881-8c44-9ab7a2e1b943', 0.9545454545454546), ('karaak', 'karaak1_e3fbee0f-140f-4414-9435-89051dc09107', 0.9545454545454546), ('karaak', 'karaak2_49cb17c7-16b1-4a6e-a0e1-c1b1b7c2654e', 0.9545454545454546)]"
pisããn,piʃa:̃n,pisããn_6f7bd4d3-06db-495d-94ed-c56633293344,"[('sʹããn', 'sʹããn_256f7d52-7743-4413-9b3b-c73ca66b9c95', 0.8636363636363636)]"
wät,wʌt,wät2_6f82fc68-dc2b-409a-86de-9dcd3f28347e,"[('awät', 'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978', 0.8571428571428571)]"
nu kasewä̃n,nu kaʃewʌ̃n,nu kasewä̃n_703eb3cb-7eb8-40b3-a918-1577508e601d,"[('kasä̃n', 'kasä̃n_8ba37229-8fdd-4338-923a-0b13b066d936', 0.8571428571428571)]"
pɔ̰̃ːd,pɔ̰̃:d,pɔ̰̃ːd1_708f622c-e2c2-456a-a655-0df9b7f44ae1,"[('pɔ̰̃ːd', 'pɔ̰̃ːd2_ab0cfaae-c21c-4d6f-a26c-b1212aa99936', 1.0), ('pɔ̰̃ːn', 'pɔ̰̃ːn_4efe0b96-672b-40ed-9e97-49828ac4667c', 0.9166666666666666)]"
gëëw,gə:w,gëëw_70fc9c7c-beca-459a-a973-51d3d66e4ec4,"[('gʌːw', 'gʌːw_d75c6521-2155-4784-a864-2198b50b7ec4', 0.875)]"
wawʹoos,wawo̰:ʃ,wawʹoos_713c2e49-683d-4b4c-b21a-cb6fbd07c005,"[('wʹoo', 'wʹoo_7129100e-d981-4dd4-bc48-1b86037bb2d4', 0.8888888888888888)]"
tamaːh,tama:h,tamaːh_71db4032-746b-4431-8e46-c8e548fc84e8,"[('tama', 'tama_d841c6e5-6cae-4f89-a59a-6873a985a44d', 0.9), ('damaːh', 'damaːh_1e32b3cf-ef09-4674-ac86-11cdeb57e934', 0.9166666666666666), ('taba̰ːh', 'taba̰ːh_de71206e-e9a3-466d-9f04-99311263ecfd', 0.8846153846153846), ('baːh', 'baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12', 0.875)]"
ny noo gó,nɨ no: gɔ,ny noo gó_72787a80-12a4-4c42-9382-ae718c231d83,"[('gó', 'gó_32db9835-81bc-4809-83fb-6b662dc0682a', 1.0), ('noo gó', 'noo gó_980060a8-219d-4d8e-b3cb-c96d520fdd2a', 1.0)]"
dakëë,dakə:,dakëë_72943245-797e-4342-b159-2272bb0b1243,"[('akëë', 'akëë_46f2c675-ccd1-4908-8693-cea8ae7dc035', 0.8888888888888888), ('k’ëë', 'k’ëë_33265ec6-c2f0-40d5-a1eb-edc43610b9ea', 0.9285714285714286), ('ekëë', 'ekëë_94c4c70f-1fb6-4aed-bb53-f7bfc3022767', 0.8571428571428571), ('kxʉʉ', 'kxʉʉ_83036f6e-eb27-4866-9e07-b59e2136ce94', 0.9285714285714286)]"
so,ʃo,so_72a73287-e2c7-4dff-9dc7-0822773c112e,"[('soo', 'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf', 0.9), ('ʃoːʔ', 'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f', 0.9)]"
ji tyyng,ji tɨ:ŋ,ji tyyng_72aa4577-3522-4de8-83c7-e71442e19efd,"[('tëëng', 'tëëng_973a6d9c-adec-4a58-98e0-2ac2c9961a59', 0.875), ('tɨng', 'tɨng2_5724ff6d-c354-4517-881f-ba3c003e92d2', 0.9285714285714286), ('tɨːŋ', 'tɨːŋ_e2b5fecf-076d-455e-afca-70e5369e1d22', 1.0), ('tɯ̰ːŋ', 'tɯ̰ːŋ_8809f33f-e595-4f96-8d4d-cd4b936414ca', 0.9444444444444444), ('tyyg', 'tyyg_aa58bcaf-dbda-4802-ad73-a4a3d2881445', 0.875), ('tɨɨ', 'tɨɨ_e4e003b3-b87d-4e64-853a-137ee8f53b2f', 0.8571428571428571), ('tyng', 'tyng_1ca2ceb7-661e-409f-8ba9-0beae1fb5929', 0.9285714285714286)]"
hiwiʔ,hiwi,hiwiʔ_72b3cc1c-0855-48c3-a313-77ddde846f2a,"[('wii', 'wii_8a4348e9-3bfb-46f0-8cd1-c70242ed07b9', 0.9), ('wiːʔ', 'wiːʔ_6775cf67-0f92-4ae5-a67c-dcd6102dce40', 0.9)]"
karaba,karaba,karaba_7354ca9f-c488-41c2-aec5-27ce9f1a2a6c,"[('ba', 'ba_6b7a5021-dce2-4c28-9d18-c59209596756', 1.0), ('rama', 'rama_2bfdf4f7-0c51-480a-938a-c1dcea2924f9', 0.875), ('kaɾabaʔ', 'kaɾabaʔ1_e5b1bd43-23ef-4e3f-b224-c4d00c9030b5', 1.0)]"
majoːɾ,majo:r,majoːɾ_736c5590-b31b-4510-b141-5baa8624fc3f,"[('majoor', 'majoor_c276c6b7-c47e-43a9-a101-732c26dbba0d', 1.0)]"
jaah,ja:h,jaah_73c5535f-972b-4711-b80a-904d9c468a08,"[('yʉʉh', 'yʉʉh_d594696f-9f99-4a8a-bf42-436ae849f0c5', 0.875), ('j’aa', 'j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378', 0.875), ('ja̰ːʔ', 'ja̰ːʔ_6b9116ec-f02f-4b64-8159-8be45e5e7321', 0.875)]"
ʔɯm,ɨm,ʔɯm1_73d74d6f-08f3-463a-adc3-37a43c4c0786,"[('ʔɯm', 'ʔɯm2_56948ee3-6282-4ea9-842f-46e5f2484283', 1.0), ('ɨɨm', 'ɨɨm_d43b320e-3a28-431e-897d-97757c461f9f', 0.9)]"
dab,dab,dab_743da3f0-1447-4165-a2ee-5679ce305399,"[('daːb', 'daːb_6c6f913f-603e-4dd7-99d1-c9122d333283', 0.9285714285714286)]"
ji soog,ji ʃo:g,ji soog_74595da6-313c-4cb2-b5a7-77ef65a283f6,"[('soo', 'soo1_8d4ce206-887a-448d-a7db-8239d7cbeccf', 0.8571428571428571), ('soog', 'soog_249fa31d-fe1c-46ef-a586-8da434b2d806', 1.0), ('ʃoːʔ', 'ʃoːʔ_634a34c1-ac25-46b2-88d0-2498c1253e6f', 0.8571428571428571)]"
ʔʌ̃ɲ,ʌ̃ɲ,ʔʌ̃ɲ_747ec3c6-e1ec-454b-a23b-043d66e7611b,"[('ä̃nh', 'ä̃nh_9d9c4409-ab43-42d2-9381-3d54485636ca', 1.0)]"
arook,aro:k,arook1_755a9854-5522-45a5-81f3-48a5d642443c,"[('arook', 'arook2_ea710305-f769-4c35-baa1-8bab2d4e1fde', 1.0)]"
har’ëëng,harə̰:ŋ,har’ëëng_75809c11-9e9f-4fef-a92c-c3fa46828610,"[('harʹëëng', 'harʹëëng_acb44c41-79ab-4a47-b9b0-40038d45c8bf', 1.0)]"
depaa,depa:,depaa_75bd1f7c-9858-415e-b5af-2dd2e7fe79ab,"[('pa', 'pa2_c5ad89ed-d105-49bc-bedc-a759b5d8f327', 0.9), ('paːn', 'paːn_e4920278-36b2-4b6c-b266-9c72f3055cce', 0.8571428571428571), ('paah', 'paah_5d6b8726-aa64-4b93-9329-884a1e4b1af8', 0.9285714285714286), ('pʹãã', 'pʹãã_9fab38fa-5fc0-4ee4-b82e-c53f098b21ac', 0.875), ('pa', 'pa1_308fbbfc-68b7-49a4-80ee-e6c9ed0d5044', 0.9)]"
ɨh,ɨh,ɨh_75c83f39-6f85-4520-ac43-01d873a3fc0f,"[('yyh', 'yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8', 0.9)]"
ä̃h,ʌ̃h,ä̃h_76c0c9b7-a018-4dfc-914d-28f21d9c1e80,"[('hʌ̃h', 'hʌ̃h_26b4ccbe-7572-4487-af0f-051b8571c4ca', 0.8571428571428571), ('tä̃h', 'tä̃h_a7c9df87-679d-4f00-b9d6-c15af816ae8e', 0.8571428571428571)]"
adäk,adʌk,adäk1_774abf52-37f4-472c-9e05-0d6566bafdfe,"[('däk', 'däk_5a08046d-1fe7-4f4c-90da-d3954401cd24', 1.0)]"
goor,go:r,goor_78eea66c-9fe0-4ee5-a7ca-79a089efa999,"[('goːʔ', 'goːʔ_335d28a8-83a8-4e3e-9f34-2756b1b9ea7a', 0.8571428571428571), ('gɔːɾ', 'gɔːɾ_cbc735ec-3a11-421f-82fa-4ca23abfd0c0', 0.875)]"
papuuj,papu:j,papuuj_7915d923-4f4c-4561-b7d2-ae701a0032ec,"[('buuj', 'buuj_54613d00-08ea-44ed-b996-59610ba3cac6', 0.875)]"
awaar,awa:r,awaar_7941eab2-6521-4894-ab06-a769c7e59eba,"[('kawaar', 'kawaar_1caf872b-78e3-4ad8-a6f2-fbba04c0f76b', 0.9090909090909091), ('waa', 'waa1_36bdcbb1-66cb-47fc-a7ce-1204359c2a61', 0.8571428571428571)]"
myyj,mɨ:j,myyj_79d22043-a50a-490e-92dc-1dc765665621,"[('mɨ̰j', 'mɨ̰j_7cd38671-1bfe-4dd7-99cc-7339b1622ddc', 0.875)]"
nadëb,nadəb,nadëb2_7a84a8e6-b357-468d-9c18-010e50f252a2,"[('adëb', 'adëb_af8db4b9-6dae-4999-9503-d81a5bfa101e', 0.8888888888888888), ('nadëb', 'nadëb1_64797e4a-07d3-4f0b-a899-0a27e395ea25', 1.0)]"
ɾaːt,ra:t,ɾaːt_7a8a7378-0ed1-4ee0-a3ca-81703d09c2af,"[('ɾaːd', 'ɾaːd_8bdb5180-2068-4a94-9105-f4464640bb56', 0.875)]"
óów,ɔ:w,óów_7b46d0e4-14b6-4aba-9b6d-703bd75a6885,"[('wɔːw', 'wɔːw_b43560f7-1fc8-4600-a763-8c285c65977f', 0.8571428571428571)]"
boog,bo:g,boog2_7c1c3595-e291-4ae3-aa7e-c1ca57c2fd9b,"[('boog', 'boog1_62ca10cf-1f6b-4649-90fa-b022c5c34283', 1.0)]"
rogada,rogada,rogada_7c987dc6-5e5e-4d02-bf66-50682951c138,"[('gada', 'gada_79da67ca-9ef7-4e25-9934-3fa80326f1e7', 1.0)]"
mɨ̰j,mɨ̰j,mɨ̰j_7cd38671-1bfe-4dd7-99cc-7339b1622ddc,"[('myyj', 'myyj_79d22043-a50a-490e-92dc-1dc765665621', 0.875)]"
tahóh,tahɔh,tahóh_7d735435-5f43-4a8a-94db-87f4e51b960a,"[('tahoh', 'tahoh_a4a0b6ab-42e7-4223-95dc-11ad8b23e9ee', 0.9), ('hóh', 'hóh_8d4bb317-f8b3-4aad-955a-878306ba217e', 1.0), ('hɔ̃ːh', 'hɔ̃ːh_b51b4e2e-351b-48eb-a8b3-66978cee8e77', 0.875), ('hɔːh', 'hɔːh_f900068e-bcdb-4841-8547-ba76b0bd11be', 0.9285714285714286), ('tahoːh', 'tahoːh_bccaeab6-2645-401a-a5e2-394defe8de7d', 0.8636363636363636), ('hxóóh', 'hxóóh2_b044b02d-9a90-4a89-97f6-6723b314e380', 0.875)]"
atëëh,atə:h,atëëh_7e4715cc-02ed-41de-b7e8-6d2b30d174cd,"[('satëëh', 'satëëh_faede2ca-26e4-47e4-82b7-9b5b0517a521', 0.9090909090909091), ('tëëng', 'tëëng_973a6d9c-adec-4a58-98e0-2ac2c9961a59', 0.875), ('atëë', 'atëë_0d9d214a-224c-47c4-8261-fdf54959927e', 0.9444444444444444), ('tʌːh', 'tʌːh_30c25497-a03a-44a1-a1e1-9f49cffe7b53', 0.875), ('matëëh', 'matëëh_e7e8d396-6ffd-46a2-9c45-2ba9d806df54', 0.9090909090909091)]"
jarana,jarana,jarana1_7ed1327f-e40d-4e09-8a0e-7b022090c381,"[('jarana', 'jarana2_bd32e479-6d6f-4eb6-9231-117817f4d9e0', 1.0), ('ana', 'ana_e31f4062-bf6c-4316-ba96-271f1e728541', 0.8571428571428571), ('na', 'na1_0126d0ce-96ed-408a-bd28-66f3a462840f', 1.0), ('na', 'na3_fa915d92-ea88-4f0a-9ced-ef2f7a30fe8d', 1.0), ('na', 'na2_502c638d-8616-4812-b966-7966da16815b', 1.0), ('na', 'na4_2df851cc-b722-41ba-aac8-b28779debd8c', 1.0)]"
salãap,ʃara:p,salãap_7f093b97-1ce4-4164-a722-fec8830ed2b3,"[('ɾaːb', 'ɾaːb_844bc49d-15ff-46f9-9bbc-334bd10da620', 0.875)]"
t’ëëng,tə̰:ŋ,t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12,"[('tëëng', 'tëëng_973a6d9c-adec-4a58-98e0-2ac2c9961a59', 0.9444444444444444), ('tʹëëng', 'tʹëëng_fddfb54c-17be-4610-a9d5-8a92c52ddb9e', 1.0), ('tɯ̰ːŋ', 'tɯ̰ːŋ_8809f33f-e595-4f96-8d4d-cd4b936414ca', 0.9)]"
jawʹëëj,jawə̰:j,jawʹëëj_7fe321e9-23f6-4491-9470-7bad482bbd8e,"[('wɤːj', 'wɤːj_17bd0a2e-c26a-47a3-88c5-d757cac06a9f', 0.9444444444444444), ('jaw’ëëj', 'jaw’ëëj_ca32c043-64c6-4e57-bc22-bf16c5a11551', 1.0), ('wʹëënh', 'wʹëënh_d1568243-8849-4f87-835e-bc168b791fa3', 0.9), ('wã̰ːj', 'wã̰ːj_b7f7bcc6-d22c-4598-833a-df8db3b72e71', 0.8636363636363636)]"
du gahõõh,du gaho:̃h,du gahõõh_80c7e610-2b7f-4a71-adf4-08f48dd3968c,"[('h’ooh', 'h’ooh_c95ea861-4c45-4a1a-8ef3-688bec4eb1f7', 0.9), ('hɔ̃ːh', 'hɔ̃ːh_b51b4e2e-351b-48eb-a8b3-66978cee8e77', 0.9), ('gahõõh', 'gahõõh_e0491dc8-f388-4a44-b49f-9a41f3b1e52a', 0.9285714285714286), ('hʹooh', 'hʹooh_cdd344c3-6d2f-4e37-b2a3-cf9d784437f7', 0.9), ('ho̰ːh', 'ho̰ːh_44f1f84c-e4df-4217-88eb-ef261c0b564d', 0.9), ('hoːh', 'hoːh_a8ed36ac-b900-49b9-9623-69d3aa0f1558', 0.9444444444444444)]"
gëët,gə:t,gëët_80dd9aea-7e89-4714-a295-f1bddb8ebdda,"[('gʉʉt', 'gʉʉt_dc396093-f137-47ef-80dc-2bb879a4cf28', 1.0)]"
karẽn,karẽn,karẽn1_80e42cbd-c06a-483c-b021-b0358dc74458,"[('lẽn', 'lẽn_27bc0b6c-fc38-4c5e-badf-1232a67d4852', 1.0)]"
kaɾak,karak,kaɾak_81039392-2c4a-4292-bd5a-c8108e4dbc50,"[('karaak', 'karaak1_e3fbee0f-140f-4414-9435-89051dc09107', 0.9545454545454546), ('kalaak', 'kalaak_6c0ebcef-768a-4881-8c44-9ab7a2e1b943', 0.9545454545454546), ('karak', 'karak_6f6f498f-e045-44a7-b814-505bba4b8eb4', 1.0), ('karaak', 'karaak2_49cb17c7-16b1-4a6e-a0e1-c1b1b7c2654e', 0.9545454545454546)]"
