headword,ipa,entry_id,matches
matug,matug,matug_4ea45a05-e572-439d-a59d-3e3dd960ec0f,"[('ɟug', 'ɟug_96302045-3340-4193-98f5-4d19048d0d48', 0.8571428571428571), ('tug', 'tug_6c751529-23ec-405f-bec2-ac9a1cd2a826', 1.0)]"
mapah,mapah,mapah2_4ec81927-89b0-4a12-bec2-73014ae75de4,"[('mabaah', 'mabaah1_4fd676f8-cdb4-436b-87e3-2cc5dcfd33d6', 0.8636363636363636), ('mapah', 'mapah1_b822e839-8c6d-40df-b269-0a5a65773509', 1.0), ('pa', 'pa2_c5ad89ed-d105-49bc-bedc-a759b5d8f327', 0.9), ('paah', 'paah_5d6b8726-aa64-4b93-9329-884a1e4b1af8', 0.9285714285714286), ('pa', 'pa1_308fbbfc-68b7-49a4-80ee-e6c9ed0d5044', 0.9), ('mabaah', 'mabaah2_a7203acf-034b-4299-9e1a-f9382783d0ae', 0.8636363636363636)]"
pɔ̰̃ːn,pɔ̰̃:n,pɔ̰̃ːn_4efe0b96-672b-40ed-9e97-49828ac4667c,"[('pɔ̰̃ːd', 'pɔ̰̃ːd2_ab0cfaae-c21c-4d6f-a26c-b1212aa99936', 0.9166666666666666), ('pɔ̰̃ːd', 'pɔ̰̃ːd1_708f622c-e2c2-456a-a655-0df9b7f44ae1', 0.9166666666666666)]"
mabaah,maba:h,mabaah1_4fd676f8-cdb4-436b-87e3-2cc5dcfd33d6,"[('bëëh', 'bëëh1_962a8de8-7f65-4e60-b8a4-c16d27943a32', 0.875), ('paah', 'paah_5d6b8726-aa64-4b93-9329-884a1e4b1af8', 0.875), ('mabaah', 'mabaah2_a7203acf-034b-4299-9e1a-f9382783d0ae', 1.0), ('mapah', 'mapah1_b822e839-8c6d-40df-b269-0a5a65773509', 0.8636363636363636), ('bʹaah', 'bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d', 0.9444444444444444), ('bʉʉh', 'bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d', 0.875), ('baːh', 'baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12', 1.0), ('bëëh', 'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae', 0.875), ('mapah', 'mapah2_4ec81927-89b0-4a12-bec2-73014ae75de4', 0.8636363636363636)]"
bawät,bawʌt,bawät_502f994c-e0e8-444f-94d4-e196e8844ad6,"[('wät', 'wät2_6f82fc68-dc2b-409a-86de-9dcd3f28347e', 1.0), ('awät', 'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978', 0.8888888888888888)]"
wɛm,wɛm,wɛm_505924e7-a7a4-4f83-9710-4453b3e9047d,"[('wɛ̃m', 'wɛ̃m_d85377b8-bd2e-46c4-b056-cf8c3e2a4e87', 0.9285714285714286)]"
maʃɨːh,maʃɨ:h,maʃɨːh_516a18a7-044b-47cb-a43b-2b963878253c,"[('asʹyyh', 'asʹyyh_c75f7d44-6fb0-498b-9a97-862dd984bf7b', 0.875), ('mahyyh', 'mahyyh_99331f07-019a-4e63-ba08-9b2b6308fe5c', 0.875), ('yyh', 'yyh_1dc877e3-ce0f-43ad-817b-0844fa5ccca8', 0.8571428571428571)]"
ganebëëh,ganebə:h,ganebëëh_519371ad-8e47-436a-b8ee-7bea8506ff09,"[('bʉʉh', 'bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d', 1.0), ('byyh', 'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6', 0.875), ('bëëh', 'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae', 1.0), ('bëëh', 'bëëh1_962a8de8-7f65-4e60-b8a4-c16d27943a32', 1.0), ('baːh', 'baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12', 0.875)]"
babʌʔ,babʌ,babʌʔ_5218fe78-92c7-4850-b139-d29849e7363b,"[('bä', 'bä2_d715fe9e-35d6-4cb9-b7dd-ca28a1e3c7a4', 1.0), ('bä', 'bä1_8df25412-204a-46bc-a787-3ef67101e1cd', 1.0)]"
tʹĩĩ hẽnh,tḭ:̃ hẽɲ,tʹĩĩ hẽnh_524e8f28-14f9-4dc9-a090-7da114fd7c89,"[('hẽ', 'hẽ1_081a7a8a-0158-4d80-abae-d16c5ebdcef7', 0.8571428571428571), ('hẽnh', 'hẽnh_63c8102a-b241-4712-a838-70b21b5a086e', 1.0), ('hẽ', 'hẽ2_3bf2f3c2-3b71-4c02-9a24-b506631eabbb', 0.8571428571428571)]"
