form,match_form,def,match_def,status,entry_id,match_id
bahõd,baho̰:d,amazonian.marsh.rat;rato.de.água,temporal,ignore,bahõd2_c7fb0386-4f9c-4e01-b63e-98d57aeff3a4,baho̰:d_5cc0dedf-d5e2-4ecc-bcfd2380f2e3b862
h’ooh,ho̰:,canoe;canoa,inambu pequeno,ignore,h’ooh_c95ea861-4c45-4a1a-8ef3-688bec4eb1f7,ho̰:_4113864d-2d85-4f29-909ef8deb4a55024
h’ooh,ho:h,canoe;canoa,fígado,ignore,h’ooh_c95ea861-4c45-4a1a-8ef3-688bec4eb1f7,ho:h_a8ed36ac-b900-49b9-962369d3aa0f1559
h’ooh,hɔ:h,canoe;canoa,virilha,ignore,h’ooh_c95ea861-4c45-4a1a-8ef3-688bec4eb1f7,hɔ:h_f900068e-bcdb-4841-8547ba76b0bd11bf
aỹỹh,ahỹỹh,,sing.bird;cantar.pássaro,ignore,aỹỹh_c99a1e11-f4d3-4fbd-b8e4-ef98dc3ac38b,ahỹỹh_f733ec49-2377-44b4-8f60-a93e6a22ff4e
h’ÿÿw,hÿÿw,achiote;urucum,white.fronted.capuchin;caiarara,ignore,h’ëëw/h’yyw_cd431f73-caef-44e2-8c8c-bfdab027a9f5,hëëw/hyyw_e3e69eca-b141-4371-89c7-fb0f3deefb05
ỹỹn,ɨd,mother;mãe,parte.baixa,ignore,ỹỹn2_cd68549e-1a6e-4765-94fe-b4d379bdf417,ɨd_81932843-b81d-48e9-988fc34c461ec696
ỹỹn,ə:n,mother;mãe,mother,merge,ỹỹn2_cd68549e-1a6e-4765-94fe-b4d379bdf417,ə:n_eb201827-9f6d-4018-a8dde4f259bf9839
ỹỹn,ëën,mother;mãe,mother.Voc;mãe.Voc,two entries,ỹỹn2_cd68549e-1a6e-4765-94fe-b4d379bdf417,ëën_fe7eb662-ab08-4960-beed-46e3474784d5
kuruj-du,kuruj du,vulture;urubu,vulture;urubu,merge,kuruj-du_cee3da30-09cb-4fe7-8929-c2a990e5caa8,kuruj du_cee3da30-09cb-4fe7-8929-c2a990e5caa8
oow,ɔ:w,grandfather;avô,grandfather,merge,oow2_d04af342-ffb6-4ca8-806b-a630870f74ee,ɔ:w_7b46d0e4-14b6-4aba-9b6d703bd75a6886
warahen,warahén,policeman;policía,policeman;policía,merge,warahen1_d19ed409-f161-40d6-90a9-dede5c019714,warahén_d19ed409-f161-40d6-90a9-dede5c019714
tii,tɨ,DEM.prox;DEM;prox,rosto,ignore,tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def,tɨ_aff14eee-a080-4359-931b8e0eba6379bb
tii,tɨ:,DEM.prox;DEM;prox,fish,ignore,tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def,tɨ:_e4e003b3-b87d-4e64-853a137ee8f53b30
tii,ti,DEM.prox;DEM;prox,and.then;então,ignore,tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def,ti1_6e529536-55b7-49da-b65f-093cf90a0686
mahũũr,mahũũr,sweet.manioc;macaxeira,sweet.manioc;macaxeira,merge,mahũũr1_d5012807-382c-4ce2-ae64-fe70e83272d7,mahũũr_d5012807-382c-4ce2-ae64-fe70e83272d7
wë,wã:,sky;céu,grelo.de.buriti,ignore,wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,wã:_173a9672-acc9-46fd-bfc1a486ca2c20b7
wë,ma,sky;céu,pertences,ignore,wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,ma_4264a5f5-d297-4c5e-9ce680ae7193474b
wë,wʌ:,sky;céu,espécie de árvore,ignore,wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,wʌ:_8959362b-3825-4848-9eba1c72cb36d5d5
wë,wə:,sky;céu,mato caído,ignore,wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,wə:_9485bb49-c230-459f-b30e231a60b19151
wë,wə,sky;céu,ao.lado,ignore,wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,wə_a802edee-a71f-41cf-b15a48d2cd10f3e6
wë,ma,sky;céu,make,ignore,wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,ma_d9520bd1-d3cc-41e0-a4b4ca44534c821a
wë,mäh,sky;céu,RPT;relatado (abreviação?),ignore,wë3_d683ed0f-5336-42bd-973a-dd2b94750fd0,mäh_63073248-c558-4fc1-8f4c-63527c9e11c7
tsiw,ʃim,cicada.sp;cigarra.sp,partir (hab ʃḭːm),ignore,tsiw_d6f851ea-76b0-4c5d-a0a5-24e88039b1b9,ʃim_8fcc8ace-4a78-4e08-b476999f1c035aad
hëëj,hɨ̃:j,forest;mato,formiga.sp,ignore,hëëj_d8cd3b39-bb36-4332-b938-a6f4b9560376,hɨ̃:j_4462532d-74ae-455b-84335a21f802135a
hëëj,hɨ:j,forest;mato,comida.farelo,ignore,hëëj_d8cd3b39-bb36-4332-b938-a6f4b9560376,hɨ:j_49643aa0-9b00-45bc-9a06f4da8d189eb0
ehyyb,eỹỹm,breath;respirar,fear;ter.medo,ignore,ehyyb_dafde805-1e00-43a5-a7df-5bb17a060379,eỹỹm_db33bb76-0902-4cd5-a8db-eb1f7bdaefba
ehyyb,eỹỹm,breath;respirar,fear;ter.medo,ignore,ehyyb_dafde805-1e00-43a5-a7df-5bb17a060379,eỹỹm2_b7f8608c-1aaa-4014-b04d-968cde2f7f87
