\lx,\ge,\ps,\bb,\ph,\va,\vc,,
kaɾak,capinar,v,,,,,,
kaɾaʃɨd,aracoã,n,,,,,,
kat,tia,n,,,,,,
kawãːn,aracu,n,,,,,,
kawɛd,arara vermelha,n,,,,,,
kawɤ̰ːg,manchas escuras na pele,n,,,,,,
kayah,slowly,adv?,Weir 1986,kajah,,,,
keɾo̰ːʔ,arara amarela,n,,,,,,
kɨːj,mosquito,n,,,,,,
koːk,arrancar (n.i. kog),v,,,,,,
kook,be.light (n.i. kog),v,Weir 1994,koːk,koːk,"Martins 2005, arrancar (n.i. kog)",,
kujṵj,espécie de pássaro,n,,,,,,
kxʉʉ,stalk,n,Weir 1994,kə̰ːʔ,,,,
lakonan,tucunaré,n,Weir 1990,ɾakonan,,,ɾakunãn,"Barbosa 2005, tucunaré"
lẽn,want,v,Weir 1994,ɾẽn,,,,
lxood,speak n.i.,v,Weir 1994,ɾo̰ːd,,,,
ma,make,v,Weir 1990,maʔ,,,,
ma,"BEN, GL (goal)",part?,"Weir 1990, Weir 1994",maʔ,,,,
mabaah,honey,v,Weir 1986,mabaːh,,,,
mabəŋ,cotiara,n,,,,,,
madiːk,açaí,n,,,,,,
madɯːk,açaí,n,,,madiːk,"Barbosa 2005, açaí",,
mahang,among,post,Weir 1990,mahaŋ,,,mahaŋ,"Barbosa 2005, entre"
majoːɾ,colar,n,,,,,,
maliiy,machete,n,Weir 1986,maɾiːj,,,,
manaɨɨn,cará,n,Weir 1990,manaɨːn,,,,
manɨh,NEG,manɨh,Weir 1994,manɨh,,,,
manṵ̃ɟ,rio Unieuxi,n,,,,,,
mapaːd,espécie de taioba,n,,,,,,
maɾahuːd,solteiro,n,,,,,,
maɾahud,solteiro,n,,,maɾahuːd,"Barbosa 2005, solteiro",,
maɾaka(ː)w,cabeçudo,n,,,,,,
maɾuʃ,moça (pl maruːʃ),n,,,,,,
maʃaːʔ,ajudar,v,,,,,,
maʃɨːh,sarapó,n,,,,,,
masxãah,pet,n,Weir 1990,maʃã̰ːh,,,,
mataːp,espécie de tapuru (inseto),n,,,,,,
matɨm,eye,n,Weir 1990,matɨm,,,,
matug,jabuti,n,,,,,,
me,by means of,post,Weir 1986,meʔ,,,,
mɨh,RLT(?),?,Weir 1994,mɨh,,,,
mɨɨm,axe,n,Weir 1994,mɨːm,,,,
mɨ̰j,perema,n,,,,,,
muːɲ,rolinha,n,,,,,,
mukuːɾ,espécie de árvore,n,,,,,,
mukuɾojaʔ,macaco da noite,n,,,,,,
na,come n.i.,v,Weir 1994,naʔ,,,,
na,perm(???),part?,Weir 1994,naʔ,,,,
nãbɤːh,saliva,n,,,,,,
nabuːj,orelha,n,,,,,,
nãdɤp,índio não-Nadëb,n,,,,,,
nadʉp,wild.indian,n,Weir 1994,nadəp,nãdɤp,"Martins 2005, índio não-Nadëb",,
nag,be.tasty n.i.,v,Weir 1994,nag,,,,
naga̰ːd,língua,n,,,,,,
nahʉ́ʉ́h,illness,,"Weir 1990, Weir 1994",nahʌːh,,,,
napiɟ,peneira,n,,,,,,
naʔəŋ,água,n,,,,,,
nɔ̃ːʔ,"dar (nɔ̃ʔ inf., nɔ̰̃ːʔ n.i.)",v,,,,,,
nɨɨh,which?,pro,Weir 1994,nɨːh,,,,
nɨng,exist,v,Weir 1990,nɨŋ,,,,
