entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,date_modified
dõn_f8aa9537-e5b1-447e-b490-141ff2218678,dõn,stem,dõn,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['eecdf965-0dfa-439b-9d66-bc36ac5865bb'],2018-03-08T07:17:53Z,2018-07-27T20:27:06Z
doo2_53082cdc-d65b-4949-9404-3a47fd80f8b5,doo,stem,doːʔ,,,{'bibliography': 'Weir 1994'},['39504ac7-caa4-4fc1-9bcb-367387ee05d1'],2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
doo4_8f96a134-db02-4580-a0d5-0599f0a181e1,doo,stem,doːʔ,,"{'ji etsen dooh_a752ee65-1d41-4313-b34f-bf4fb2d8760e': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}, 'taheen n&apos;aa getsa doo_e91e270e-f253-4f7d-97e7-501f7659b3a0': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}, 'hasus doo_ffaf03b1-23af-4765-b75f-62ec979d7dd0': {'type': '_component-lexeme', 'complex-form-type': 'Compound'}}",{'bibliography': 'Weir 1986; Weir 1990'},['b36a187e-5829-4fd1-9714-474ec69e016f'],2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
doo3_b37dc192-f0fc-4fc4-acf9-e4423cdd81e1,doo,stem,doːʔ,,,{'bibliography': 'Weir 1994'},['d8980f14-df9f-4bb5-a4e1-1fe2d1545f63'],2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
dooh1_3ce71fc8-bcb6-49e2-aecf-4bba9da31ed4,dooh,stem,do:h,,,{'bibliography': 'SIL 2011; Fieldnotes Epps/Obert; 2018'},['d5260a10-522d-4ebb-bad3-a7b77381e7c5'],2018-03-08T07:17:53Z,2018-07-07T17:47:04Z
dóón_0872e55d-b5b9-4180-a82a-db40318848d5,dóón,stem,dɔːn,,,{'bibliography': 'Weir 1986'},['daa9b5d2-cb3b-43ed-9e12-bc80b1f2e5ae'],2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
dɔ̃m_93459811-747b-4906-8f97-6105912ab61e,dɔ̃m,stem,,,,,['d02f6e29-6e20-4050-9033-3f7887e15ce2'],2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
du do_f04e460e-1fca-47d3-a451-15fe4f773b94,du do,phrase,du do,"{'1040d54b-f002-4f07-826d-01add3578cf8': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:39:53Z
du doo_00f0ad34-5134-4419-9827-2e04360e87e0,du doo,phrase,du do:,,,{'bibliography': 'SIL 2011'},['1040d54b-f002-4f07-826d-01add3578cf8'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
du gahõ_4e616741-d400-4f88-b628-3ec6f301c861,du gahõ,phrase,du gahõ,"{'51bc5acc-97f9-433f-b777-5a771ad5549d': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
