headword,sense,entry_id,morph_type,pronunciation,variant_of,these_vars,other_forms,note,date,date_modified
asuu,"[['v', ""{'pt': 'costurar'}"", ""{'pt': 'costurar'}"", '', '', ""{'asung_5eb52b6b-ef0f-4d9d-aca8-90a2eb3d10dd': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'asuuh_da900b5e-4e52-47a4-bd9d-01f7d6d64609': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}""]]",asuu_844f59f2-271d-44ac-98c6-25f13b1b75cf,stem,aʃu:,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
ëk tyd,"[['Noun', ""{'en': 'squash', 'pt': 'abobora'}"", ""{'en': 'squash', 'pt': 'abobora'}"", ""{'pt': 'abobora', 'en': 'squash'}"", '', '']]",ëk tyd_84595ae0-72c2-42e8-81cd-c8fa5cba2e10,phrase,,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-09-04T00:48:04Z,2018-09-04T00:48:35Z
mo haj'aa,,mo haj&apos;aa_848df29e-e1a4-4336-95fe-fa222b76d202,phrase,mo haja̰:,"{'3145b43d-25c5-4e04-84cc-e13164a051a2': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,{'bibliography': 'cartilha 4; lições 1 11 e 17'},2018-03-08T07:17:52Z,2020-02-04T15:32:23Z
ɟɯːʔ,"[['Noun', ""{'en': 'pupunha'}"", '', '', '', '']]",ɟɯːʔ2_848fc074-d423-48a0-92ca-90f8e8726e7e,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
wabu,"[['n', ""{'en': 'pirarucu.fish', 'pt': 'pirarucu'}"", ""{'en': 'pirarucu fish', 'pt': 'pirarucu'}"", '', '', '']]",wabu_84cbb199-70f7-4c20-a174-1eeec4c14225,stem,,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2018-07-27T22:47:34Z
noo gesas,,noo gesas_84eda790-0a62-4669-99fe-ecf1595dc479,phrase,no: geʃaʃ,"{'1ec2db2b-7969-4b48-aa67-c849aa347849': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
mas'uunh,,mas&apos;uunh_8559bd94-3002-47fa-9bdb-d233c00c1b13,stem,maʃṵ:ɲ,"{'bde7cccc-62dd-44d2-8f11-219d8b8e40a8': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
gẽẽ,"[['v', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",gẽẽ_858f47d7-80ff-4b93-886a-a0df148bff9b,stem,gɛ̃:,,,,"{'bibliography': ""encontrado em cartilha 4; lição 16 (talvez relacionado com g'ẽẽ?)""}",2018-03-08T07:17:53Z,2018-06-20T01:06:55Z
bana,"[['v?', ""{'pt': 'chegar?'}"", ""{'pt': 'chegar?'}"", '', '', '']]",bana_85922b78-3029-43c8-a2f0-eff81b81374f,stem,bana,,,,{'bibliography': 'encontrado em cartilha 4; lição 4'},2018-03-08T07:17:53Z,2018-06-20T01:06:55Z
hasus,"[['v', ""{'en': 'black', 'pt': 'preto'}"", ""{'en': 'black', 'pt': 'preto'}"", '', '', ''], ['v', ""{'en': 'dirty', 'pt': 'sujo'}"", ""{'en': 'dirty', 'pt': 'sujo'}"", '', ""{'bibliography': 'Fieldnotes Epps/Obert 2018'}"", '']]",hasus_8597d570-4acf-46a7-b412-a4930d5ecada,stem,haʃuʃ,,"{'hasus doo_ffaf03b1-23af-4765-b75f-62ec979d7dd0': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Compound'}}",,{'bibliography': 'Fieldnotes Epps/Obert 2018'},2018-03-08T07:17:53Z,2019-09-18T20:29:25Z
tʉg,,tʉg_859e91f2-79fa-457a-8bc6-ed37f1d8738e,stem,,"{'tëg_3e9706fe-48bd-40b2-95c5-b58ca6cc9388': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1990; tooth'}}",,,,2018-06-20T03:31:57Z,2018-06-20T03:32:25Z
noo,"[['Noun', ""{'en': 'mouth', 'pt': 'boca'}"", ""{'en': 'mouth', 'pt': 'boca'}"", '', '', ""{'nɔ̃ːh_e5a9b44a-535d-4fbc-a143-4da67996e110': {'type': '_component-lexeme', 'variant-type': 'Spelling Variant', 'summary': 'Martins 2005; boca'}}""]]",noo2_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943,stem,no:,,"{'noo hẽnh_02548d67-7403-4ae6-be8f-4064def13b13': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'tób noo_48022e98-375b-4199-87d2-fa409cc25ba0': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,{'bibliography': 'Weir 1990; Fieldnotes Epps/Obert; 2018'},2018-06-20T05:09:53Z,2019-11-21T21:58:00Z
gõõj,"[['n', ""{'pt': 'acompanhamento (?)'}"", ""{'pt': 'comida que acompanha o peixe ou a carne'}"", '', '', ""{'gõj_e9a4ed5d-91c0-4580-8d52-9e06d2e7efbd': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}""]]",gõõj_86038736-f33e-4c25-9cbc-fc2ad0515d28,stem,gõ:j,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
naëënh,"[['v', ""{'en': 'call', 'pt': 'chamar'}"", ""{'en': 'call', 'pt': 'chamar'}"", '', '', ""{'naëëj_d9ca85c7-ea29-47cc-9bf8-0624e99f4f92': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",naëënh_8604bf25-763e-4f74-9f62-1229dc8c1305,stem,naə:ɲ,,,,"{'bibliography': 'Epps/Obert; Fieldnotes 2019, SIL 2011'}",2018-03-08T07:17:53Z,2019-12-30T14:02:49Z
edëng,"[['Verb', ""{'en': 'greet', 'pt': 'comprimentar'}"", ""{'en': 'greet', 'pt': 'comprimentar'}"", '', '', '']]",edëng_860a5da2-298a-4c6e-a638-812c28b0d9b4,root,edǝŋ,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-12-15T23:11:48Z,2019-12-15T23:13:13Z
waëë,"[['Noun', ""{'en': 'mountain', 'pt': 'serra'}"", ""{'en': 'mountain', 'pt': 'serra'}"", '', '', '']]",waëë_860ebf6f-0614-4d29-b3a5-bc6d391c2301,stem,waʔǝ:ʔ,,,,"{'bibliography': 'Fieldnotes Epps/Obert; 2018', 'Note': 'problem: waʔǝ:ʔ or waʔɨ:ʔ'}",2018-07-08T17:54:48Z,2018-07-08T17:59:51Z
p'ëëts hẽ,"[['', ""{'en': 'close', 'pt': 'perto'}"", ""{'en': 'close', 'pt': 'perto'}"", '', ""{'bibliography': 'Fieldnotes Epps/Obert; 2018'}"", ''], ['', ""{'en': 'almost', 'pt': 'quase'}"", ""{'en': 'almost', 'pt': 'quase'}"", '', '', '']]",p&apos;ëëts hẽ_861f321d-8e0a-420b-ade0-944ee4181915,phrase,peʔeɉ hẽʔ],,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2018-07-07T17:37:39Z,2020-01-08T02:14:53Z
tat'aah,"[['n op', ""{'pt': 'netos'}"", ""{'pt': 'netos'}"", '', '', ""{'tataah_3a4ece63-7d15-430f-a569-fd308bf3fa91': {'type': '_component-lexeme', 'variant-type': 'Plural'}}""]]",tat&apos;aah2_8655a1bc-a95f-4192-a901-75f8cb59008d,stem,tata̰:h,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
hooj,"[['Noun', ""{'en': 'white.cará', 'pt': 'cará.branco'}"", ""{'en': 'white carrá', 'pt': 'cará branco'}"", ""{'pt': 'cará branco', 'en': 'white cará'}"", '', '']]",hooj1_8685f141-0aa5-4267-b4cb-681284bbe011,root,ho:j,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-09-04T00:24:04Z,2019-01-14T03:36:18Z
ahoog,,ahoog_86909127-d6a9-47da-afae-0e5865240388,stem,aho:g,"{'ea5a29cc-72ea-4e5c-a30e-950944984663': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
TEST-Oct23,"[['', '', '', '', '', '']]",TEST-Oct23_8717e7d0-d24d-47d5-b374-7cb36a00fc67,stem,,,,,,2019-10-23T21:30:56Z,2019-10-23T21:30:56Z
