headword,sense,entry_id,morph_type,pronunciation,variant_of,these_vars,other_forms,note,date,date_modified
wakãn ỹỹ,,wakãn ỹỹ_42f76161-a403-4bf8-b52f-0033ae31e7df,phrase,wakãn ɨ̃:,"{'03be15fe-2dfd-48de-945e-f2953ed6ccc0': {'type': '_component-lexeme', 'variant-type': '1S Possessivo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
gawajad,"[['Noun', ""{'en': 'veado'}"", '', '', '', '']]",gawajad_42f86ba0-9354-4a12-85ca-fb6bb7981ef6,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
karasee,"[['Noun', ""{'en': 'niece/nephew', 'pt': 'sobrinha/o'}"", ""{'en': 'niece/nephew', 'pt': 'sobrinha/o'}"", '', '', '']]",karasee2_430d97ec-8027-4c94-a20c-9abe0c446010,stem,kaɾaʃe:ʔ,,,,,2019-01-14T03:46:56Z,2019-01-14T03:54:30Z
hewad,"[['Verb', ""{'en': 'annoy', 'pt': 'atrapalhar'}"", ""{'en': 'annoy', 'pt': 'atrapalhar'}"", '', '', '']]",hewad_432b1491-1cae-4e99-a704-958647dd14fb,root,he'wad,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-12-15T23:10:08Z,2020-01-22T21:18:48Z
besoh,,besoh_43382369-637a-4e7b-91a8-d2a15d6e474d,stem,beʃoh,"{'ac8a1843-388b-427b-918b-43d78bca995f': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
akaaj,"[['Noun', ""{'en': 'cashew', 'pt': 'cajú'}"", ""{'en': 'cashew', 'pt': 'cajú'}"", ""{'pt': 'cajú', 'en': 'cashew'}"", '', '']]",akaaj_4356d4e1-bb4c-4d50-9e1f-0fd644063bfd,stem,ʔaˈka:j,"{'akaaj yb_67407264-1414-46ba-9fff-54a210cc433c': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}}",,,{'bibliography': 'Fielndotes Epps/Obert; 2018'},2018-09-04T00:05:48Z,2018-09-04T00:08:11Z
bebuu,"[['Noun', ""{'en': 'paxiuba.palm', 'pt': 'paxiuba'}"", ""{'en': 'paxiuba palm', 'pt': 'paxiuba'}"", ""{'pt': 'paxiuba', 'en': 'paxiuba palm'}"", '', '']]",bebuu_43e0b62c-df25-4402-9772-5305e03bb339,stem,beʔbu:ʔ,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-09-03T23:22:48Z,2018-09-03T23:24:25Z
gamãg,"[['Noun', ""{'en': 'espécie de pássaro'}"", '', '', '', '']]",gamãg_442a9fb3-e66d-4f8c-a0fc-2291cbef737a,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
ỹ,"[['', ""{'pt': '1SG.poss'}"", '', '', '', '']]",ỹ2_44326e66-729c-4ee4-bb17-3fab46c26650,stem,,,,,,2020-01-26T04:33:01Z,2020-01-26T04:33:01Z
egëëm,,egëëm_445eebc6-c3cd-4449-aa4a-78db684115fd,stem,,"{'agëëm_25a0d00f-c8c7-4836-8947-123a3ffb510a': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,,2019-11-05T16:07:35Z,2019-11-05T16:07:35Z
hɨ̃ːj,"[['Noun', ""{'en': 'formiga.sp'}"", '', '', '', '']]",hɨ̃ːj_4462532d-74ae-455b-8433-5a21f8021359,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
tyd,"[['n', ""{'en': 'rope', 'pt': 'corda'}"", ""{'en': 'rope', 'pt': 'corda'}"", '', '', ''], ['n', ""{'en': 'hanging.vine', 'pt': 'cipó'}"", ""{'en': 'hanging vine', 'pt': 'cipó'}"", '', '', '']]",tyd_4468f4e2-2806-4ee7-8c12-fb65d3d3fe4d,stem,tɨd˺,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2018-07-07T18:27:37Z
se,"[['n', ""{'pt': 'sobrinho'}"", ""{'pt': 'sobrinho (meu sobrinho)'}"", '', '', '']]",se_44710235-cb36-41d3-88f8-7a88edc7df2b,stem,ʃe,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
bato,"[['Noun', ""{'en': 'coca', 'pt': 'ipadu'}"", ""{'en': 'coca', 'pt': 'ipadu'}"", ""{'en': 'coca', 'pt': 'ipadu'}"", '', '']]",bato1_449069a7-b371-4bea-ab7c-b7db4e0eac98,root,baˈtoʔ,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-08-23T23:45:59Z,2019-01-14T03:36:18Z
ɟuːk,"[['Verb', ""{'en': 'coçar'}"", '', '', '', '']]",ɟuːk_4490816c-a10c-4d52-a75d-fe876900d6a0,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
ho̰ːh,"[['Noun', ""{'en': 'canoa'}"", '', '', '', '']]",ho̰ːh_44f1f84c-e4df-4217-88eb-ef261c0b564d,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
ji=mapoo bóg,"[['Noun', ""{'en': 'fingernail', 'pt': 'unha'}"", ""{'en': 'fingernail', 'pt': 'unha'}"", '', '', '']]",ji=mapoo bóg_4559a376-7d41-4788-9634-5b4d8e1044e8,phrase,maˈpo: ˈbɔg˺,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-27T19:54:49Z,2018-07-27T19:55:42Z
tah'ëët ub,"[['adv?', ""{'en': 'the.truth.is', 'pt': 'na.verdade'}"", ""{'en': 'the truth is', 'pt': 'na verdade'}"", '', '', '']]",tah&apos;ëët ub_459c3c9d-f5bf-421b-a570-ddb9e6e06b65,phrase,tahəʔət ub,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-12-02T02:25:31Z,2019-12-02T02:26:49Z
sóh tyym,"[['Noun', ""{'en': 'blow.dart', 'pt': 'dardo'}"", ""{'en': 'dart (blowgun)', 'pt': 'dardo'}"", '', '', '']]",sóh tyym_45cd1a5f-be5c-44f8-8f33-fcb130ed8dbd,phrase,ʃɔh tɨ:bm,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-01-14T03:46:55Z,2020-01-08T02:17:08Z
jóón,"[['Noun', ""{'en': 'cuati', 'pt': 'cuati'}"", ""{'en': 'cuati', 'pt': 'cuati'}"", '', '', '']]",jóón_45d960e0-b762-437d-bca3-d9c02c5339c6,stem,,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-27T22:37:48Z,2018-07-27T22:38:19Z
ʃũːɟ,,ʃũːɟ_45f4d90f-6540-418c-a6ce-a30c452fdfb8,stem,,"{'sũũts_07fc6bd3-d3a8-4027-9945-2f8878c2efa9': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",,,,2018-06-20T03:23:18Z,2018-06-20T03:23:32Z
mawããd bëëh,"[['Noun', ""{'en': 'chicha', 'pt': 'aluá'}"", ""{'en': 'chicha(other alc. beverage)', 'pt': 'aluá'}"", '', '', '']]",mawããd bëëh_4621987f-cb9c-49bd-ac91-be605067fc58,phrase,mãwã:d̚ bə:h,,,,{'Note': 'lit. pineapple juice'},2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
gʉ́,"[['Verb', ""{'en': 'be.in.hammock'}"", '', '', '', '']]",gʉ́_462c2514-97e8-4299-94e0-5e36b5c1ab3f,stem,gʌʔ,,,,{'bibliography': 'Weir 1986'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
sawyk,"[['Noun', ""{'en': 'kapok', 'pt': 'sumaumeira'}"", ""{'en': 'kapok', 'pt': 'sumaumeira'}"", ""{'en': 'kapok', 'pt': 'sumaumeira'}"", '', '']]",sawyk_4639249a-4c4d-48ec-92ad-2cda852204b8,root,ʃaˈwɨk˺,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-09-04T00:14:42Z,2018-09-04T00:15:28Z
no,,no_46a5426d-16d2-4497-8aa0-73500cd7308c,root,no,"{'noo1_fd121132-52a5-48ea-bd08-47e6db5af53b': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,{'bibliography': 'SIL 2011'},2018-03-22T21:06:59Z,2018-06-20T01:46:10Z
akëë,"[['v', ""{'pt': 'enterrado'}"", ""{'pt': 'enterrado; fixado dentro de; fixado em'}"", '', '', ""{'akä_e3bbdea8-01c6-43f4-bf94-d8fab2822864': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",akëë_46f2c675-ccd1-4908-8693-cea8ae7dc035,stem,akə:,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
do̰ːb,"[['Noun', ""{'en': 'japó'}"", '', '', '', '']]",do̰ːb_47303514-3cb9-4b25-89cd-865353c9646a,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
gawajaah,"[['Verb', ""{'en': 'hunt', 'pt': 'caçar'}"", ""{'en': 'hunt', 'pt': 'caçar'}"", '', '', '']]",gawajaah3_473237ec-7ec5-4fc0-88e7-d5033497445e,stem,k'awaja:h,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
ʔək,"[['Noun', ""{'en': 'cuia'}"", '', '', '', '']]",ʔək_4736ff14-7951-4702-8420-4b761777ed50,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
es'õõj,,es&apos;õõj_47398d7b-e389-44c6-af78-714635f7215e,stem,eʃõ̰:j,"{'237b528b-7ef8-44c8-9738-2355398685e4': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
gaw'ëëng,"[['Noun', ""{'en': 'mouse', 'pt': 'camundongo'}"", ""{'en': 'mouse', 'pt': 'camundongo'}"", '', '', '']]",gaw&apos;ëëng2_475a687b-0e2b-4a1c-bf41-4336e322a2b7,stem,k'awəʔəgŋ,,,,,2019-01-14T03:46:55Z,2020-02-04T15:34:03Z
eboh,,eboh_479d7d4d-db5a-43de-ab6b-6ec74ab9881e,stem,eboh,"{'98417052-1b46-4bec-8fe4-035586275105': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ʔajɯːʔ,"[['Noun', ""{'en': 'homem (pl ʔajɯ̰ːʔ)'}"", '', '', '', '']]",ʔajɯːʔ_479ecbff-3f1d-44fc-907e-91ca5906164b,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
kanapiih,"[['n', ""{'pt': 'massa.beiju'}"", ""{'pt': 'beiju de massa'}"", '', '', '']]",kanapiih1_47fe5b8e-3eb3-4166-9d21-9e255bfeb45d,stem,kanapi:h,,"{'kanapĩh_acaedd39-1e2a-40d8-8ed5-c35abb7ae198': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'beiju'}}",,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2019-01-14T03:36:18Z
tób noo,"[['Noun', ""{'en': 'door', 'pt': 'porta'}"", ""{'en': 'door', 'pt': 'porta'}"", '', '', '']]",tób noo_48022e98-375b-4199-87d2-fa409cc25ba0,phrase,tɔb no:,"{'tób_8e356cef-e3f2-4646-8e11-7c62d369a9fd': {'type': '_component-lexeme', 'is-primary': 'true', 'complex-form-type': 'Unspecified Complex Form'}, 'noo2_85e5d65c-81a9-43ba-8b05-e1d0cb3a0943': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}",,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-11-21T21:55:42Z,2019-11-21T21:57:03Z
tahũũm,"[['n', ""{'pt': 'planta.sp'}"", ""{'pt': 'esp. de planta'}"", '', '', '']]",tahũũm_480edbaa-0ba8-4eae-968e-71ba5dbe2438,stem,tahũ:m,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
paj'ëë,,paj&apos;ëë_481e0acf-5957-47da-b623-158e07815ca8,stem,pajə̰:,"{'baaf6269-ef17-4198-9903-c6211c2b24b6': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
maʃaːʔ,"[['Verb', ""{'en': 'ajudar'}"", '', '', '', '']]",maʃaːʔ_481eb163-0cd4-42fd-8115-54fb20c95b08,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
ji hewoonh,"[['Noun', ""{'en': 'fence', 'pt': 'cerca'}"", ""{'en': 'fence; palisade', 'pt': 'cerca'}"", '', '', '']]",ji hewoonh_4854a607-ca5c-4691-85c2-15ce76dd6da1,phrase,jiʔ hewo:ɟɲ,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
hoonh,"[['?', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",hoonh1_485e1de8-8cfa-4e5a-aa46-f0bc283b8323,stem,ho:ɲ,,,,{'bibliography': 'encontrado em cartilha 4; lição 15'},2018-03-08T07:17:53Z,2018-06-20T01:06:55Z
tii,"[['onom', ""{'pt': 'ossos.secos'}"", ""{'pt': 'som de ossos secos'}"", '', '', '']]",tii1_487f32cf-ecef-4acb-b46f-049fe7ed4361,stem,ti:,,,,{'bibliography': 'parece ter uso verbal em muitas lições em cartilha 4'},2018-03-08T07:17:53Z,2018-06-20T01:06:55Z
mɨh,"[['?', ""{'en': 'RLT(?)'}"", '', '', '', '']]",mɨh_48a57db1-f031-4fb0-a057-d5006fb63d43,stem,mɨh,,,,{'bibliography': 'Weir 1994'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
pyym,"[['n', ""{'en': 'snake.poison', 'pt': 'veneno.cobra'}"", ""{'en': 'snake poison', 'pt': 'veneno de cobra'}"", '', '', '']]",pyym_48a754db-ea05-4440-bcad-eec33e19477e,stem,pɨ:m,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2018-03-08T07:17:53Z,2019-12-20T21:21:43Z
ahyk,,ahyk3_48a9115e-12fc-4ad0-a55e-3ff77821a07b,stem,ahɨk,"{'1d403bbc-6626-434c-977a-29615f25b110': {'type': '_component-lexeme', 'variant-type': 'Plural'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
p'ooj,"[['', ""{'pt': 'muito.tempo'}"", '', '', '', '']]",p&apos;ooj_48aff069-4380-4bd8-9798-ba08efaa4c7d,stem,,,,,,2020-01-24T01:59:19Z,2020-01-24T01:59:19Z
nayyw,,nayyw_48c32115-3de9-4059-b1d6-c262a1704223,stem,naɨ:w,"{'c0c5edbd-74b4-4633-b165-391c649d9aa5': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,{'bibliography': 'cartilha 4; lição 3'},2018-03-08T07:17:52Z,2018-06-20T01:10:35Z
bʉʉh,"[['Noun', ""{'en': 'juice'}"", '', '', '', '']]",bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d,stem,bəːh,,,,{'bibliography': 'Weir 1994'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
nu gasõõm,"[['v', ""{'pt': 'cabeça.apontada'}"", ""{'pt': 'ter uma cabeça/chapéu apontada'}"", '', '', ""{'nu ges&apos;õõm_d6c8f2ab-2832-4af0-8120-e601cb6bbe5e': {'type': '_component-lexeme', 'variant-type': 'Causativo'}}""]]",nu gasõõm_48dbda2f-b218-4d64-8db6-bd9b505c63ce,phrase,nu gaʃõ:m,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
kaoom,"[['v?', ""{'en': 'be.pierced', 'pt': 'estar.espetado'}"", ""{'en': 'be pierced', 'pt': 'estar espetado'}"", '', '', '']]",kaoom_4938a4e2-9691-4b61-b3a2-0233be15194f,root,ka'o:m,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2020-01-08T17:38:57Z,2020-01-08T17:39:30Z
hyyj,"[['n op', ""{'pt': 'comida.farelo'}"", ""{'pt': 'farelo de comida'}"", '', '', '']]",hyyj_49643aa0-9b00-45bc-9a06-f4da8d189eaf,stem,hɨ:j,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
wog,"[['v?', ""{'en': 'belly', 'pt': 'barriga'}"", ""{'en': 'belly', 'pt': 'barriga'}"", '', ""{'grammar': '(ji) wog'}"", '']]",wog_498db3e4-f431-454a-9be0-f767c01c3ed5,stem,wog˺,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:53Z,2018-07-06T18:31:16Z
saroop,"[['Noun', ""{'en': 'water.vine', 'pt': 'cipó.da.água'}"", ""{'en': 'water vine', 'pt': 'cipó da água'}"", ""{'pt': 'cipó da água', 'en': 'water vine'}"", '', '']]",saroop_49b0da68-47ae-42c0-ac17-b23a42c0e42e,root,,,,,{'bibliography': 'Fielnotes Epps/Obert; 2018'},2018-09-04T00:50:53Z,2018-09-04T00:51:54Z
karaak,"[['Noun', ""{'en': 'chicken', 'pt': 'galinha'}"", ""{'en': 'chicken', 'pt': 'galinha'}"", '', '', '']]",karaak2_49cb17c7-16b1-4a6e-a0e1-c1b1b7c2654e,stem,kaɾa:k̚,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
mukejar,"[['Noun', ""{'en': 'small.neotropical.otter', 'pt': 'lontra'}"", ""{'en': 'Neotropical Otter (small)', 'pt': 'lontra'}"", '', '', '']]",mukejar_49cc4b48-66d2-491d-a6a9-633a44661353,stem,mũkejaɾᵊ,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
haja,,haja_49f6d689-75ba-4e67-ac49-a2dc99d9a511,stem,haja,"{'9f7fc33b-9323-4f28-9524-ede88d422f89': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,,{'bibliography': 'cartilha 4; lição 6'},2018-03-08T07:17:52Z,2018-06-20T01:10:35Z
sẽẽ,"[['Noun', ""{'pt': 'caracaraí'}"", ""{'pt': 'caracaraí (especie de urubu)'}"", '', '', '']]",sẽẽ_4a265a7c-06dc-406e-acbf-361618b09a42,root,ʃẽ:,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-12-21T21:02:02Z,2019-12-21T21:02:56Z
ejẽh,"[['v', ""{'pt': 'choque'}"", ""{'pt': 'choque elétrico (escorpião; poraquê)'}"", '', '', ""{'ejẽng_b646a9ff-5753-4793-9bd3-f980e9de5400': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",ejẽh_4a2970f7-14e2-455c-831a-3ffc4f6cd078,stem,ejɛ̃h,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
hɨɨh,"[['DEM', ""{'en': 'DEM'}"", '', '', '', '']]",hɨɨh1_4a6af09e-19e4-45b8-8276-00edcd7b1ff8,stem,hɨːh,,,,{'bibliography': 'Weir 1994'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
hõm,"[['?', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",hõm_4a712cc3-64f7-4370-a697-8992d4110af5,root,hõm,"{'ahõm2_558e9afc-9ba2-4539-a7f6-4f97c105a800': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}","{'kõm_3ade4628-db94-4ccf-949d-5a7dd7f9a3dc': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}",,{'bibliography': 'encontrado em cartilha 4; lição 7'},2018-03-08T07:17:53Z,2020-02-04T00:26:54Z
pamãb,"[['Noun', ""{'en': 'espécie de árvore'}"", '', '', '', '']]",pamãb_4ab1e3e1-b214-4f07-b07a-2378f914bdbf,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
r'ood,"[['v', ""{'pt': 'fala'}"", ""{'pt': 'fala'}"", '', '', ""{'ter&apos;ood_65ad6eee-f8b9-44d1-8184-e611ee027971': {'type': '_component-lexeme', 'variant-type': 'Unspecified Variant'}}""]]",r&apos;ood2_4acc9cdb-de0b-4f94-b9e3-ebe14eadfa07,stem,ɾo̰:d,,"{'ɾo̰:d_0c829fa4-9159-4c0f-bbd0-974ce4a7a960': {'type': '_component-lexeme', 'variant-type': 'Martins', 'summary': 'fala'}}",,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
h'yy gadajah,,h&apos;yy gadajah_4ae5f5e5-3408-4e14-8d13-cbfa3f84c827,phrase,hɨ̰: gadajah,"{'h&apos;yy gadajang_a5194e98-c0fc-42dd-83b2-c4d9365b077e': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-22T16:11:36Z,2020-02-04T15:32:23Z
ɾṵːɲ,"[['Verb', ""{'en': 'saltitar (iterativo)'}"", '', '', '', '']]",ɾṵːɲ_4ae8608d-42ec-4b15-b5f6-62cf14285128,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
pets'yyt,"[['v?', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",pets&apos;yyt_4aef1e79-faa6-48c5-9b25-917643b48366,stem,peɟɨ̰:t,,,,{'bibliography': 'encontrado em cartilha 4; lição 9'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
kasuud,,kasuud_4afcce50-2b38-49e5-bec1-1732ce913571,stem,kaʃu:d,"{'74b8b567-2fbc-49cb-a9c5-c6fceb662737': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
hop,"[['Verb', ""{'en': 'banhar-se (n.i. hob)'}"", '', '', '', '']]",hop_4b4b4a7f-c3b7-42b3-973b-026c02b2531c,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
tawén,"[['Subordinating connective', ""{'en': 'because.of', 'pt': 'por.causa'}"", '', '', '', '']]",tawén_4b5a7d0b-ab97-404d-9c4d-c873c08e57c1,stem,,,,,,2019-12-29T02:24:57Z,2019-12-29T02:24:57Z
nxoo,"[['part?', ""{'en': 'fact(itive?)'}"", '', '', '', '']]",nxoo_4b7dce3a-006c-458c-ba0c-bb5e1c53defd,stem,no̰ːʔ,,,,{'bibliography': 'Weir 1994'},2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
nä,"[['adv', ""{'pt': 'ainda'}"", ""{'pt': 'ainda'}"", '', '', '']]",nä1_4b7f5948-bdce-4500-aff6-a4162c201a26,stem,nʌ,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-01-26T04:48:34Z
s'ỹỹ,"[['Adverb', ""{'en': 'left', 'pt': 'esquerda'}"", ""{'en': 'left', 'pt': 'esquerda'}"", '', '', '']]",s&apos;ỹỹ1_4b90f87b-b955-4578-a4eb-450e5425a275,stem,ʃɨ̃ʔɨ̃ʔ,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-06T21:02:12Z,2020-02-04T15:34:03Z
gawajaah,"[['v', ""{'pt': 'não.alcançar'}"", ""{'pt': 'não alcançar com os pés'}"", '', '', ""{'gawajah_1c43c5f6-18af-437e-90c9-8506069bb3d1': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'gawaja_bb44afa9-15eb-4d8f-91fb-f8ec0e2129cd': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",gawajaah1_4bcdb228-d5c9-43a8-91d9-692c155c8ffc,stem,gawaja:h,,,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
hahiin,"[['adj?', ""{'en': 'red', 'pt': 'vermelho'}"", ""{'en': 'red', 'pt': 'vermelho'}"", '', '', '']]",hahiin_4bcf73a7-26da-4805-a046-fe9271f5bcc2,stem,haˈhi:dn,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-07-07T18:14:41Z,2018-07-07T18:15:30Z
esĩĩn,"[['v', ""{'en': 'kill.with.arrow', 'pt': 'flechar'}"", ""{'en': 'kill with arrow', 'pt': 'flechar'}"", '', '', '']]",esĩĩn_4c031899-2d3d-4fe6-819a-76005cb92d76,stem,ʔeˈʃĩ:n,,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},2018-03-08T07:17:52Z,2018-07-10T15:56:37Z
madohoro,"[['Noun', ""{'en': '?', 'pt': 'tapouru'}"", ""{'en': '?', 'pt': 'taporou'}"", '', '', '']]",madohoro_4c036b11-ae24-404b-bbac-0687c029e6a1,root,madoʔhoɾoʔ,,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},2019-12-04T23:31:56Z,2019-12-04T23:33:58Z
hajõk,"[['adv', ""{'pt': 'muitos'}"", ""{'pt': 'muitos'}"", '', '', ""{'hajõõh_2a633761-8222-43c0-8d5e-76122088df50': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}, 'hajõõ_b23141fb-d829-45df-8736-bc21544328dc': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}""]]",hajõk_4c2a000d-241d-4b5a-b205-8c46b9773691,stem,hajõk,,"{'hajõng_95f4de6d-163c-402c-b86e-db380334691a': {'type': '_component-lexeme', 'variant-type': 'Não humano'}}",,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
kamaan,"[['Noun', ""{'en': 'bean', 'pt': 'feijão'}"", ""{'en': 'bean', 'pt': 'feijão'}"", '', '', '']]",kamaan2_4c767ee3-2527-4c05-a5f7-bbcb94db1b59,stem,kabmã:n,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
had'yyk do,"[['v?', ""{'pt': '?'}"", ""{'pt': '?'}"", '', '', '']]",had&apos;yyk do_4c8177bb-2375-4df9-9160-25cf0798c70f,phrase,hadɨ̰:k do,,,,{'bibliography': 'encontrado em cartilha 4; lição 17; ortografia não certa'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
masuuj,,masuuj_4c9cc54a-4523-4687-8cb3-d1241b4f9c64,stem,maʃu:j,"{'bde7cccc-62dd-44d2-8f11-219d8b8e40a8': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
gasoom,"[['Noun', ""{'en': 'angleworm', 'pt': 'minhoca'}"", ""{'en': 'angleworm', 'pt': 'minhoca'}"", '', '', '']]",gasoom1_4cbf1e75-3511-49fe-a915-2400ecd03edc,stem,k'aʃo:bm,,,,,2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
ets'ẽẽ,,ets&apos;ẽẽ_4cc08e25-0d5f-42c1-ad63-075b211df095,stem,eɟḛ̃:,"{'c182021e-4e21-4bef-8a36-872fd3dfca47': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,,{'bibliography': 'SIL 2011'},2018-03-08T07:17:53Z,2020-02-04T15:32:23Z
ɾoːɾ,"[['Noun', ""{'en': 'pato'}"", '', '', '', '']]",ɾoːɾ_4cf16e5f-320d-49e2-a128-4ae50a674b2b,stem,,,,,,2018-06-20T05:09:53Z,2018-06-20T05:09:53Z
jigamʌ̃ːʔ,"[['Noun', ""{'en': 'pomo de adão'}"", '', '', '', '']]",jigamʌ̃ːʔ_4d0f04ba-38b1-44d2-86c9-67c8cfd820d7,stem,,,,,,2018-06-20T05:09:54Z,2018-06-20T05:09:54Z
